SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 10-Jun-2025, 107.25, 109.00, 109.00, 107.00, 107.50, 107.50, 108.10, 1202, 1.30, 6, 1201, 99.92
20MICRONS, EQ, 10-Jun-2025, 228.17, 230.50, 230.50, 223.33, 224.50, 224.05, 226.30, 122553, 277.33, 3191, 72392, 59.07
21STCENMGM, EQ, 10-Jun-2025, 67.21, 68.45, 68.45, 66.51, 66.70, 66.93, 67.23, 16697, 11.23, 208, 14458, 86.59
360ONE, EQ, 10-Jun-2025, 1065.60, 1074.50, 1077.75, 998.00, 1060.10, 1062.30, 1057.00, 479653, 5069.92, 36936, 186185, 38.82
3IINFOLTD, EQ, 10-Jun-2025, 25.09, 25.24, 27.30, 25.12, 26.51, 26.56, 26.51, 2277883, 603.82, 7490, 961514, 42.21
3MINDIA, EQ, 10-Jun-2025, 29425.00, 29600.00, 29680.00, 29315.00, 29355.00, 29425.00, 29461.95, 2705, 796.95, 1276, 1642, 60.70
3PLAND, EQ, 10-Jun-2025, 55.00, 55.28, 56.79, 54.21, 55.98, 55.81, 55.86, 22808, 12.74, 362, 12609, 55.28
522GS2025, GS, 10-Jun-2025, 103.00, 102.75, 102.75, 102.75, 102.75, 102.75, 102.75, 10, 0.01, 1, 10, 100.00
563GS2026, GS, 10-Jun-2025, 100.90, 100.50, 100.50, 100.00, 100.00, 100.00, 100.38, 4, 0.00, 2, 4, 100.00
5PAISA, EQ, 10-Jun-2025, 423.70, 429.00, 433.70, 418.85, 423.00, 425.35, 423.83, 44952, 190.52, 3495, 26593, 59.16
610GS2031, GS, 10-Jun-2025, 98.30, 100.00, 100.05, 100.00, 100.05, 100.05, 100.04, 107, 0.11, 2, 107, 100.00
619GS2034, GS, 10-Jun-2025, 97.32, 101.99, 101.99, 101.99, 101.99, 101.99, 101.99, 20, 0.02, 1, 20, 100.00
633GS2035, GS, 10-Jun-2025, 100.40, 100.60, 100.60, 100.40, 100.40, 100.40, 100.41, 300, 0.30, 5, 300, 100.00
63MOONS, EQ, 10-Jun-2025, 856.90, 859.90, 896.20, 857.40, 863.00, 863.00, 873.46, 232346, 2029.45, 8810, 94476, 40.66
667GS2035, GS, 10-Jun-2025, 103.76, 108.81, 108.81, 105.30, 105.30, 105.30, 107.06, 2, 0.00, 2, 1, 50.00
675GS2029, GS, 10-Jun-2025, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 107.00, 5, 0.01, 2, 5, 100.00
676GS2061, GS, 10-Jun-2025, 101.40, 101.40, 101.40, 100.48, 101.00, 100.65, 100.78, 14301, 14.41, 16, 12551, 87.76
679GS2034, GS, 10-Jun-2025, 103.50, 103.50, 103.50, 103.50, 103.50, 103.50, 103.50, 100, 0.10, 1, 100, 100.00
679GS2034A, GS, 10-Jun-2025, 101.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100, 0.10, 1, 100, 100.00
68GS2060, GS, 10-Jun-2025, 102.00, 103.00, 103.00, 101.50, 101.50, 101.50, 102.00, 3, 0.00, 2, 3, 100.00
690GS2065, GS, 10-Jun-2025, 101.25, 101.25, 101.25, 100.90, 100.90, 100.92, 101.06, 26997, 27.28, 12, 26897, 99.63
692GS2039, GS, 10-Jun-2025, 104.01, 103.01, 105.73, 103.01, 105.73, 104.34, 104.34, 196, 0.20, 2, 196, 100.00
695GS2061, GS, 10-Jun-2025, 105.00, 105.00, 105.00, 104.50, 105.00, 104.50, 104.50, 5802, 6.06, 3, 5802, 100.00
698GR2054, GS, 10-Jun-2025, 100.00, 101.50, 101.50, 101.00, 101.00, 101.00, 101.49, 1129, 1.15, 2, 1129, 100.00
699GS2051, GS, 10-Jun-2025, 105.00, 104.98, 105.00, 104.60, 105.00, 105.00, 105.00, 15207, 15.97, 22, 15207, 100.00
702GS2027, GS, 10-Jun-2025, 102.80, 102.10, 102.10, 102.10, 102.10, 102.10, 102.10, 2849, 2.91, 4, 2849, 100.00
706GS2028, GS, 10-Jun-2025, 104.00, 104.00, 104.50, 103.85, 103.96, 103.96, 103.97, 49002, 50.95, 11, 49002, 100.00
709GS2054, GS, 10-Jun-2025, 105.55, 106.00, 106.00, 105.60, 106.00, 105.99, 105.87, 4850, 5.13, 13, 4850, 100.00
709GS2074, GS, 10-Jun-2025, 102.90, 103.00, 103.00, 102.70, 102.75, 102.78, 102.84, 17705, 18.21, 31, 17705, 100.00
710GS2029, GS, 10-Jun-2025, 105.35, 104.75, 105.50, 104.65, 104.65, 104.66, 104.68, 4701, 4.92, 6, 4701, 100.00
717GS2030, GS, 10-Jun-2025, 106.27, 106.00, 106.00, 106.00, 106.00, 106.00, 106.00, 2824, 2.99, 2, 2824, 100.00
718GS2037, GS, 10-Jun-2025, 108.13, 108.10, 108.10, 108.00, 108.00, 108.00, 108.00, 1000, 1.08, 2, 1000, 100.00
719GS2060, GS, 10-Jun-2025, 105.80, 107.02, 107.02, 107.02, 107.02, 107.02, 107.02, 1, 0.00, 1, 1, 100.00
71GS2034, GS, 10-Jun-2025, 105.55, 105.55, 105.55, 105.15, 105.15, 105.15, 105.53, 2200, 2.32, 5, 2200, 100.00
725GS2063, GS, 10-Jun-2025, 108.54, 108.50, 108.50, 107.55, 108.00, 107.99, 108.02, 43362, 46.84, 43, 43362, 100.00
726GS2032, GS, 10-Jun-2025, 107.97, 107.35, 109.00, 107.35, 107.41, 107.41, 107.36, 5337, 5.73, 5, 5337, 100.00
