"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA FPI 150","1,603.20","1,612.05","1,602.80","1,598.95","1,611.15","-","12.20","0.76","69,74,06,553","37,356.74","1,627.85","1,346.50","0.78","-"
"GMRAIRPORT","98.90","104.74","98.23","98.16","104.20","-","6.04","6.15","7,16,79,432","734.43","110.36","67.75","9.27","22.12"
"JSWENERGY","457.80","485.10","457.80","457.80","483.00","-","25.20","5.50","57,49,586","273.28","700.90","418.75","-8.47","-28.84"
"BPCL","352.50","366.65","352.50","351.30","365.00","-","13.70","3.90","61,01,145","219.92","381.55","234.01","-2.43","18.73"
"NMDC","75.99","78.05","75.50","75.31","77.98","-","2.67","3.55","2,23,92,662","173.25","82.05","59.53","2.84","-67.68"
"TATASTEEL","167.60","172.50","167.40","166.38","172.00","-","5.62","3.38","4,11,30,927","702.06","186.94","122.62","-5.05","14.14"
"HINDALCO","830.80","855.00","830.60","824.35","851.20","-","26.85","3.26","81,78,645","691.25","864.00","546.45","7.35","27.08"
"BLUESTARCO","1,747.00","1,804.90","1,747.00","1,746.20","1,802.00","-","55.80","3.20","2,01,435","35.90","2,417.00","1,521.00","0.93","-15.69"
"COROMANDEL","2,260.90","2,339.90","2,253.20","2,248.90","2,315.00","-","66.10","2.94","2,71,513","62.92","2,718.90","1,596.00","6.83","31.53"
"DIXON","13,100.00","13,422.00","13,005.00","12,988.00","13,365.00","-","377.00","2.90","7,08,140","939.56","19,148.90","12,130.00","-11.36","-23.67"
"BHEL","276.85","287.50","276.85","276.50","284.45","-","7.95","2.88","1,20,84,724","343.53","295.25","176.00","-0.23","12.40"
"MUTHOOTFIN","3,765.00","3,848.10","3,751.10","3,734.20","3,841.90","-","107.70","2.88","4,37,084","166.15","3,848.10","1,965.00","13.23","85.89"
"ADANIPOWER","141.39","145.00","141.39","140.58","144.41","-","3.83","2.72","1,34,50,435","192.62","182.70","89.00","-4.42","-72.17"
"HINDPETRO","449.00","461.50","448.50","448.05","460.20","-","12.15","2.71","26,17,358","119.33","494.45","287.55","-5.74","12.14"
"VEDL","535.00","546.55","535.00","529.05","543.10","-","14.05","2.66","1,86,29,112","1,008.75","546.55","363.00","3.77","5.69"
"SRF","2,931.00","3,029.00","2,931.00","2,943.70","3,021.60","-","77.90","2.65","8,14,099","244.00","3,325.00","2,196.85","3.20","29.41"
"WAAREEENER","2,909.70","2,990.80","2,901.00","2,895.40","2,971.20","-","75.80","2.62","8,97,083","265.11","3,865.00","1,863.00","-10.20","-6.13"
"NAUKRI","1,343.70","1,379.90","1,343.50","1,343.50","1,376.20","-","32.70","2.43","5,94,311","81.08","1,825.78","1,157.00","2.74","-83.90"
"ETERNAL","290.10","299.00","288.60","290.95","297.85","-","6.90","2.37","2,72,89,532","806.49","368.45","194.80","-2.53","-"
"ULTRACEMCO","11,491.00","11,738.00","11,481.00","11,472.00","11,730.00","-","258.00","2.25","3,89,481","453.80","13,097.00","10,047.85","-0.86","-1.47"
"FORTIS","860.45","877.00","858.25","855.85","874.45","-","18.60","2.17","22,86,632","199.41","1,104.30","577.00","-11.43","22.47"
"VMM","131.99","135.10","130.24","131.72","134.50","-","2.78","2.11","70,44,688","94.15","157.60","95.99","-1.78","-"
"IDFCFIRSTB","80.62","82.82","80.62","80.61","82.29","-","1.68","2.08","3,56,82,799","292.46","82.82","52.46","1.98","26.21"
"SUZLON","52.50","53.10","52.50","52.04","53.10","-","1.06","2.04","4,25,24,157","224.83","74.30","46.15","-8.30","-19.81"
"PERSISTENT","6,240.00","6,357.00","6,204.00","6,204.00","6,325.50","-","121.50","1.96","3,11,443","195.63","6,788.90","4,148.95","5.07","-0.37"
"AUROPHARMA","1,175.10","1,199.50","1,170.40","1,172.20","1,195.10","-","22.90","1.95","6,70,100","79.71","1,356.20","1,010.00","2.30","-2.51"
"SONACOMS","485.65","493.75","484.05","483.15","492.50","-","9.35","1.94","28,96,193","141.24","649.05","380.00","0.55","-23.26"
"GODREJPROP","2,045.00","2,081.50","2,038.40","2,035.60","2,075.00","-","39.40","1.94","4,81,256","99.09","3,015.00","1,900.00","-3.86","-28.76"
"OBEROIRLTY","1,640.10","1,677.00","1,640.10","1,632.80","1,664.20","-","31.40","1.92","3,74,480","62.20","2,343.65","1,451.95","-5.84","-22.24"
"ADANIGREEN","1,024.00","1,042.00","1,024.00","1,018.80","1,038.20","-","19.40","1.90","26,15,096","271.15","1,252.30","758.00","-0.38","-9.39"
"LT","4,061.00","4,114.00","4,048.60","4,003.90","4,072.80","-","68.90","1.72","22,07,898","900.66","4,140.00","2,965.30","3.01","4.02"
"KALYANKJIL","473.35","480.00","470.10","470.05","478.00","-","7.95","1.69","14,71,440","70.04","795.40","399.40","-5.91","-37.18"
"VOLTAS","1,355.00","1,379.70","1,353.60","1,353.40","1,376.00","-","22.60","1.67","3,71,973","50.82","1,859.40","1,135.00","5.63","-23.37"
"MARUTI","16,248.00","16,536.00","16,247.00","16,248.00","16,515.00","-","267.00","1.64","4,04,711","666.98","16,660.00","10,725.00","5.61","46.50"
"JSWSTEEL","1,110.00","1,128.80","1,108.80","1,105.40","1,123.50","-","18.10","1.64","8,27,546","92.85","1,223.90","880.00","-5.54","12.53"
"NESTLEIND","1,219.00","1,240.00","1,215.40","1,215.00","1,234.40","-","19.40","1.60","8,41,766","103.71","1,311.60","1,055.00","-2.35","-44.74"
"JINDALSTEL","1,019.00","1,032.50","1,017.90","1,012.90","1,029.00","-","16.10","1.59","8,46,932","86.87","1,098.00","723.35","-4.69","3.50"
"LUPIN","2,083.00","2,117.20","2,080.00","2,081.80","2,112.40","-","30.60","1.47","5,74,240","120.81","2,402.90","1,795.20","6.98","-1.70"
"BHARATFORG","1,414.90","1,430.00","1,404.70","1,407.40","1,428.00","-","20.60","1.46","5,09,588","72.23","1,460.20","919.10","1.75","3.42"
"CROMPTON","251.90","255.25","250.30","251.50","255.10","-","3.60","1.43","12,05,605","30.45","417.00","248.40","-8.96","-38.56"
"BHARTIARTL","2,053.10","2,087.10","2,050.60","2,053.20","2,082.10","-","28.90","1.41","27,06,420","561.37","2,174.50","1,559.50","2.01","31.36"
"IOC","162.35","164.90","162.06","161.75","163.85","-","2.10","1.30","1,34,92,656","220.73","174.50","110.72","-5.09","14.30"
"CUMMINSIND","4,549.00","4,615.00","4,530.00","4,531.90","4,590.00","-","58.10","1.28","4,65,150","212.68","4,615.00","2,580.00","4.21","27.62"
"MOTHERSON","120.49","121.48","119.97","119.80","121.30","-","1.50","1.25","1,48,76,284","179.69","121.48","71.50","15.02","-27.28"
"INDUSINDBK","840.05","851.20","839.00","835.55","845.75","-","10.20","1.22","34,92,109","295.06","1,086.55","606.00","2.43","-14.08"
"PHOENIXLTD","1,750.00","1,776.00","1,727.10","1,743.80","1,765.00","-","21.20","1.22","4,18,292","73.72","1,890.90","1,402.50","1.97","-5.20"
"GRASIM","2,814.00","2,845.20","2,796.60","2,797.80","2,830.00","-","32.20","1.15","9,27,504","262.25","2,977.80","2,276.95","2.19","6.21"
"SBILIFE","2,012.00","2,030.40","2,002.40","2,006.90","2,030.00","-","23.10","1.15","5,57,472","112.55","2,086.60","1,372.55","1.43","39.13"
"ADANIPORTS","1,512.00","1,527.40","1,509.50","1,504.00","1,521.00","-","17.00","1.13","11,52,570","175.13","1,549.00","1,010.75","3.28","23.42"
"BSE","2,715.40","2,743.70","2,680.00","2,698.80","2,728.30","-","29.50","1.09","38,13,800","1,035.90","3,030.00","1,227.33","3.43","-50.74"
"GAIL","170.00","174.29","169.30","168.95","170.65","-","1.70","1.01","1,84,97,271","316.28","207.82","150.52","-6.38","-17.06"
"POLYCAB","7,230.00","7,298.00","7,193.50","7,218.50","7,291.00","-","72.50","1.00","1,58,727","114.97","7,903.00","4,555.00","-5.00","-1.69"
"BRITANNIA","5,848.00","5,925.50","5,830.00","5,847.00","5,905.00","-","58.00","0.99","2,02,721","119.27","6,336.00","4,506.00","-0.59","20.98"
"APOLLOHOSP","7,015.00","7,130.00","6,996.00","7,009.50","7,078.00","-","68.50","0.98","3,06,662","217.29","8,099.50","6,001.00","-5.33","-3.27"
"AXISBANK","1,278.00","1,291.00","1,277.90","1,272.70","1,285.00","-","12.30","0.97","22,81,078","293.52","1,304.00","933.50","5.20","12.10"
"INDUSTOWER","411.00","416.25","409.05","410.35","414.25","-","3.90","0.95","48,99,002","202.56","430.00","312.55","3.64","15.46"
"BAJFINANCE","1,000.00","1,020.80","1,000.00","1,006.40","1,015.80","-","9.40","0.93","43,81,711","445.54","1,102.50","679.20","1.20","-85.70"
"BAJAJFINSV","2,075.80","2,093.00","2,069.20","2,065.80","2,084.30","-","18.50","0.90","5,54,885","115.45","2,195.00","1,551.65","4.71","23.52"
"SHREECEM","26,100.00","26,460.00","26,100.00","26,080.00","26,315.00","-","235.00","0.90","23,933","62.90","32,490.00","24,817.80","-2.77","-3.74"
"INDIGO","4,830.00","4,898.00","4,811.50","4,819.00","4,862.00","-","43.00","0.89","33,79,049","1,642.26","6,232.50","3,945.00","-15.94","8.84"
"TCS","3,197.70","3,223.00","3,185.70","3,191.90","3,220.10","-","28.20","0.88","11,46,554","367.94","4,494.90","2,866.60","5.69","-27.26"
"INDHOTEL","730.00","740.95","727.35","729.00","735.40","-","6.40","0.88","27,84,620","205.04","894.90","672.60","5.35","-12.12"
"ADANIENSOL","1,000.05","1,016.35","998.80","999.60","1,008.15","-","8.55","0.86","21,10,784","212.37","1,050.00","639.45","2.22","27.77"
"CHOLAFIN","1,719.40","1,740.40","1,703.80","1,719.40","1,734.00","-","14.60","0.85","23,09,890","397.45","1,782.00","1,168.00","-0.36","28.66"
"TECHM","1,575.00","1,580.50","1,558.70","1,568.20","1,580.10","-","11.90","0.76","7,54,479","118.76","1,807.70","1,209.40","12.10","-10.46"
"MFSL","1,711.00","1,724.90","1,707.50","1,703.60","1,716.50","-","12.90","0.76","5,47,322","93.99","1,751.40","950.00","5.11","50.14"
"JIOFIN","300.00","302.40","298.75","298.45","300.70","-","2.25","0.75","79,55,711","239.20","346.30","198.65","-1.36","-12.32"
"APLAPOLLO","1,717.00","1,744.30","1,717.00","1,723.00","1,736.00","-","13.00","0.75","5,55,246","96.28","1,936.00","1,272.70","-2.96","8.73"
"NTPC","322.90","325.95","322.90","322.60","325.00","-","2.40","0.74","42,61,023","138.35","371.45","292.80","-0.49","-11.07"
"LODHA","1,087.20","1,096.20","1,079.40","1,080.50","1,088.30","-","7.80","0.72","11,74,813","128.07","1,531.00","1,035.15","-10.64","-22.67"
"NYKAA","250.55","254.20","249.45","249.55","251.35","-","1.80","0.72","29,04,987","73.22","273.22","154.90","-4.17","47.78"
"COFORGE","1,850.00","1,854.70","1,825.80","1,841.40","1,853.90","-","12.50","0.68","13,41,771","246.95","2,005.36","1,194.01","3.00","-79.42"
"TITAN","3,844.80","3,894.80","3,831.90","3,844.80","3,871.00","-","26.20","0.68","5,47,866","212.32","3,956.00","2,925.00","1.78","11.72"
"DLF","697.00","705.00","691.70","693.65","698.30","-","4.65","0.67","24,47,290","170.85","896.60","601.20","-8.61","-20.14"
"TATACONSUM","1,142.10","1,151.00","1,138.00","1,142.10","1,149.50","-","7.40","0.65","7,51,834","86.08","1,202.80","882.90","-0.60","22.91"
"GLENMARK","1,965.30","1,979.70","1,951.10","1,956.00","1,968.10","-","12.10","0.62","3,59,560","70.71","2,284.80","1,275.50","8.68","29.39"
"VBL","478.50","481.55","473.45","478.50","481.40","-","2.90","0.61","28,10,867","134.36","663.60","419.55","1.99","-25.47"
"RVNL","313.35","315.15","311.05","311.90","313.80","-","1.90","0.61","19,53,253","61.14","501.80","301.20","-1.21","-33.81"
"RELIANCE","1,550.80","1,559.80","1,546.10","1,545.00","1,554.30","-","9.30","0.60","51,06,655","794.19","1,581.30","1,114.85","4.23","21.77"
"NHPC","76.81","77.36","76.61","76.69","77.14","-","0.45","0.59","51,70,567","39.80","92.34","71.00","-5.81","-10.43"
"IRCTC","671.10","675.40","669.05","669.85","673.60","-","3.75","0.56","3,90,768","26.29","859.70","656.00","-5.13","-21.18"
"TORNTPOWER","1,284.00","1,296.50","1,280.60","1,282.70","1,289.80","-","7.10","0.55","1,43,211","18.45","1,713.75","1,188.00","-3.44","-22.62"
"TVSMOTOR","3,631.00","3,660.00","3,623.00","3,637.40","3,656.50","-","19.10","0.53","2,90,853","105.87","3,720.00","2,171.40","5.21","44.39"
"HAVELLS","1,402.60","1,413.10","1,400.20","1,402.40","1,409.90","-","7.50","0.53","4,30,872","60.61","1,782.65","1,380.00","-2.36","-19.55"
"ZYDUSLIFE","925.00","932.00","923.05","922.55","927.45","-","4.90","0.53","4,35,255","40.36","1,059.05","795.00","-1.04","-5.81"
"PIDILITIND","1,464.50","1,479.50","1,464.50","1,467.40","1,475.00","-","7.60","0.52","3,32,259","49.00","1,617.43","1,311.10","0.26","-53.72"
"DRREDDY","1,275.00","1,280.40","1,267.30","1,273.50","1,280.00","-","6.50","0.51","9,81,548","125.31","1,405.90","1,020.00","5.60","3.29"
"TRENT","4,077.90","4,092.80","4,049.90","4,047.50","4,067.00","-","19.50","0.48","5,34,723","217.63","7,493.05","3,930.10","-5.57","-42.30"
"WIPRO","259.50","260.82","257.36","259.25","260.50","-","1.25","0.48","40,08,271","104.05","324.60","228.00","7.82","-15.66"
"HDFCLIFE","779.10","779.85","770.05","775.20","778.95","-","3.75","0.48","12,90,971","100.07","820.75","584.30","1.78","22.51"
"PRESTIGE","1,645.00","1,684.90","1,626.30","1,652.20","1,659.70","-","7.50","0.45","4,33,075","72.06","1,900.00","1,048.05","-5.56","-5.19"
"UNITDSPR","1,440.00","1,451.00","1,433.00","1,437.20","1,443.70","-","6.50","0.45","3,47,794","50.21","1,700.00","1,271.10","2.30","-4.60"
"ICICIBANK","1,368.00","1,370.70","1,363.30","1,360.00","1,366.00","-","6.00","0.44","38,90,885","531.66","1,500.00","1,186.00","0.57","2.90"
"BEL","388.00","394.10","388.00","387.50","389.15","-","1.65","0.43","1,26,61,065","494.92","436.00","240.25","-8.86","23.99"
"TATAPOWER","382.10","383.60","379.80","380.15","381.75","-","1.60","0.42","67,78,054","258.67","438.60","326.35","-3.45","-12.16"
"PFC","344.00","345.00","339.80","342.55","343.90","-","1.35","0.39","37,51,220","128.58","520.00","334.85","-8.21","-32.90"
"M&M","3,665.40","3,695.00","3,661.30","3,665.20","3,679.10","-","13.90","0.38","10,78,982","397.00","3,795.00","2,425.00","-1.85","19.78"
"DMART","3,830.80","3,868.60","3,810.00","3,830.80","3,845.00","-","14.20","0.37","2,48,192","95.16","4,949.50","3,340.00","-5.63","3.63"
"TATAELXSI","5,026.50","5,040.00","4,988.50","5,016.50","5,032.00","-","15.50","0.31","82,176","41.21","7,448.95","4,700.00","-4.79","-31.56"
"IRFC","113.29","114.10","112.63","113.29","113.63","-","0.34","0.30","51,41,588","58.26","166.90","108.04","-6.41","-30.98"
"ADANIENT","2,277.70","2,296.80","2,270.20","2,277.70","2,284.00","-","6.30","0.28","9,29,199","212.11","2,616.50","1,967.52","-3.57","-7.12"
"GODREJCP","1,155.10","1,157.80","1,138.90","1,147.90","1,151.10","-","3.20","0.28","9,66,615","110.96","1,309.00","979.50","1.35","1.63"
"HDFCBANK","1,003.00","1,004.70","998.20","1,000.30","1,002.90","-","2.60","0.26","1,19,88,618","1,200.68","1,020.50","812.15","0.99","-46.25"
"CIPLA","1,520.00","1,524.70","1,510.20","1,512.30","1,516.10","-","3.80","0.25","10,54,050","160.04","1,673.00","1,335.00","0.17","4.35"
"KPITTECH","1,233.80","1,240.00","1,220.00","1,232.50","1,235.40","-","2.90","0.24","3,82,004","47.14","1,563.35","1,020.60","2.09","-20.08"
"SHRIRAMFIN","852.00","854.75","841.50","847.15","849.00","-","1.85","0.22","60,36,788","512.18","872.00","493.35","1.89","-73.89"
"MANKIND","2,176.00","2,189.90","2,150.00","2,166.80","2,170.70","-","3.90","0.18","11,07,746","239.78","3,054.80","2,115.10","-1.88","-16.98"
"LTIM","6,314.50","6,318.00","6,250.00","6,294.50","6,306.00","-","11.50","0.18","1,70,630","107.18","6,767.95","3,802.00","10.05","-4.76"
"HDFCAMC","2,676.00","2,681.30","2,653.60","2,664.70","2,669.10","-","4.40","0.17","13,04,915","348.34","2,967.25","1,781.53","-51.19","-41.14"
"MARICO","726.95","728.00","718.70","724.70","725.95","-","1.25","0.17","17,94,314","130.07","765.30","577.85","1.97","14.88"
"TMPV","348.00","349.35","344.75","346.65","347.20","-","0.55","0.16","72,41,621","251.33","810.00","341.40","-14.76","-"
"SBICARD","871.95","879.85","871.80","873.20","874.30","-","1.10","0.13","4,28,193","37.46","1,027.25","663.05","1.29","19.69"
"UPL","748.80","750.90","741.45","745.85","746.60","-","0.75","0.10","40,75,773","303.81","776.00","493.00","-0.53","35.57"
"PNB","117.86","118.14","116.83","117.57","117.69","-","0.12","0.10","92,66,231","108.88","127.80","85.46","-3.45","8.50"
"FEDERALBNK","261.50","263.60","259.95","260.90","261.00","-","0.10","0.04","84,84,790","221.61","263.60","172.66","10.79","21.74"
"RECLTD","346.80","346.80","341.05","344.00","344.15","-","0.15","0.04","33,16,506","114.03","572.65","336.50","-4.88","-39.55"
"MPHASIS","2,919.00","2,926.40","2,885.20","2,894.90","2,895.90","-","1.00","0.03","1,40,084","40.73","3,237.95","2,044.55","4.87","-8.54"
"COLPAL","2,154.50","2,168.80","2,141.80","2,154.10","2,153.60","-","-0.50","-0.02","2,48,587","53.61","2,975.00","2,096.20","-0.95","-25.31"
"INFY","1,601.40","1,601.80","1,582.60","1,598.00","1,597.50","-","-0.50","-0.03","46,33,912","738.61","2,006.45","1,307.00","4.44","-19.04"
"YESBANK","21.94","22.09","21.84","21.94","21.93","-","-0.01","-0.05","6,58,86,403","144.49","24.30","16.02","-3.14","1.58"
"SBIN","966.00","967.00","958.00","963.25","962.60","-","-0.65","-0.07","56,81,930","546.34","999.00","680.00","1.03","11.79"
"KOTAKBANK","2,181.70","2,201.00","2,174.70","2,180.20","2,177.30","-","-2.90","-0.13","28,62,549","625.30","2,301.90","1,723.75","4.30","21.28"
"ONGC","238.50","239.40","237.02","238.41","238.10","-","-0.31","-0.13","42,52,781","101.13","273.50","205.00","-4.58","-7.24"
"HCLTECH","1,677.40","1,677.90","1,660.00","1,672.40","1,670.00","-","-2.40","-0.14","12,84,337","214.44","2,012.20","1,302.75","6.57","-13.35"
"CGPOWER","670.00","675.00","664.75","666.50","665.40","-","-1.10","-0.17","17,69,892","118.35","797.55","517.70","-9.15","-14.97"
"DIVISLAB","6,430.00","6,519.00","6,410.00","6,430.00","6,419.00","-","-11.00","-0.17","1,28,635","82.87","7,071.50","4,955.00","-1.73","8.41"
"ALKEM","5,666.00","5,676.00","5,587.50","5,626.00","5,614.50","-","-11.50","-0.20","35,892","20.17","5,868.00","4,491.65","-1.15","2.57"
"TIINDIA","2,660.00","2,678.00","2,631.70","2,651.10","2,645.00","-","-6.10","-0.23","1,78,645","47.38","3,825.00","2,407.10","-11.46","-27.84"
"ICICIGI","1,939.70","1,948.70","1,925.20","1,939.70","1,935.00","-","-4.70","-0.24","3,87,063","74.89","2,068.70","1,613.70","-2.92","-0.55"
"COALINDIA","384.55","385.75","382.25","384.00","383.00","-","-1.00","-0.26","14,10,201","54.13","419.65","349.25","0.14","-8.06"
