"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MICROCAP 250","22,352.80","22,419.20","22,284.25","22,303.80","22,366.90","-","63.10","0.28","33,20,64,841","5,754.67","26,476.90","8,567.20","-4.41","-15.31"
"SHAREINDIA","158.70","173.38","158.52","157.62","173.38","-","15.76","10.00","17,44,812","29.72","333.20","127.50","0.09","-42.32"
"SANDUMA","200.59","220.90","199.00","197.82","214.99","-","17.17","8.68","1,84,95,718","398.36","237.88","112.40","4.68","-57.61"
"KPIGREEN","403.60","427.00","399.50","400.10","426.00","-","25.90","6.47","18,34,657","75.99","588.80","313.40","-12.66","-47.84"
"INOXGREEN","195.49","206.14","194.10","192.86","203.45","-","10.59","5.49","13,50,095","27.05","279.00","104.00","-20.67","16.53"
"BIRLACORPN","1,029.50","1,075.00","1,028.90","1,022.00","1,075.00","-","53.00","5.19","1,13,201","12.02","1,535.30","910.25","-8.58","-17.82"
"BECTORFOOD","262.90","279.90","258.30","1,310.30","275.00","-","12.90","4.92","2,56,302","6.77","376.94","242.30","-78.98","-85.46"
"RBA","65.01","68.68","64.36","64.89","67.90","-","3.01","4.64","1,26,30,846","84.51","89.50","59.40","6.24","-18.89"
"EPL","210.00","217.72","208.11","209.20","217.00","-","7.80","3.73","12,74,718","27.31","288.40","175.28","13.02","-21.70"
"TVSSCS","105.47","110.70","104.70","105.15","109.07","-","3.92","3.73","10,98,201","11.90","196.90","100.01","-11.83","-43.17"
"HEMIPROP","129.69","135.88","129.69","129.70","134.50","-","4.80","3.70","2,29,187","3.04","190.69","111.03","-0.89","-23.68"
"LLOYDSENT","56.37","58.40","55.52","55.92","57.93","-","2.01","3.59","16,97,751","9.72","88.44","34.20","-9.92","18.83"
"SHAKTIPUMP","619.00","661.50","591.00","628.20","649.80","-","21.60","3.44","2,47,30,044","1,572.88","1,387.00","548.45","-12.84","-20.31"
"CELLO","560.40","575.00","554.55","554.60","573.50","-","18.90","3.41","1,08,662","6.15","854.00","494.75","-7.63","-32.71"
"LLOYDSENGG","51.45","52.44","51.03","50.55","52.25","-","1.70","3.36","38,75,747","20.10","84.27","44.54","-10.61","-35.56"
"MOIL","320.95","335.80","320.10","319.10","329.10","-","10.00","3.13","12,65,289","41.70","405.60","274.05","-11.86","-10.72"
"JKIL","548.85","566.95","548.85","547.85","565.00","-","17.15","3.13","89,960","5.05","797.70","540.00","-7.95","-27.64"
"STLTECH","98.45","101.25","97.99","97.83","100.85","-","3.02","3.09","8,56,017","8.56","140.40","58.86","-11.39","-18.76"
"ANURAS","1,285.00","1,321.00","1,277.10","1,279.00","1,318.00","-","39.00","3.05","4,76,480","61.67","1,335.10","601.00","21.55","70.03"
"IMFA","1,345.00","1,406.70","1,345.00","1,351.20","1,389.90","-","38.70","2.86","1,71,291","23.70","1,415.00","549.80","3.39","41.28"
"TRANSRAILL","567.00","588.00","567.00","566.20","582.30","-","16.10","2.84","5,50,497","31.90","855.80","394.55","-10.10","-"
"SENCO","306.65","313.65","305.00","305.00","312.00","-","7.00","2.30","4,92,174","15.15","596.00","227.40","-4.15","-72.97"
"GULFOILLUB","1,136.60","1,167.20","1,130.10","1,133.60","1,158.90","-","25.30","2.23","35,375","4.08","1,331.90","911.00","-4.69","2.56"
"CEIGALL","231.54","236.00","230.49","230.81","235.95","-","5.14","2.23","72,498","1.69","383.00","222.61","-5.81","-35.69"
"RAIN","105.25","107.41","105.25","104.76","107.02","-","2.26","2.16","14,77,488","15.71","197.00","99.90","-13.61","-43.97"
