"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 150","21,964.05","22,168.60","21,947.60","21,893.25","22,152.10","-","258.85","1.18","1,66,45,59,610","19,465.43","22,495.40","17,269.50","-0.33","1.25"
"GMRAIRPORT","98.90","104.74","98.23","98.16","104.20","-","6.04","6.15","7,16,79,432","734.43","110.36","67.75","9.27","22.12"
"NIACL","163.80","175.80","162.33","162.41","171.20","-","8.79","5.41","34,10,128","58.12","221.80","135.60","-5.93","-18.15"
"NATIONALUM","266.75","279.75","266.35","264.30","278.30","-","14.00","5.30","2,19,81,929","606.00","279.75","137.75","4.70","11.47"
"IDBI","97.49","100.20","96.71","95.15","99.82","-","4.67","4.91","1,84,99,635","181.93","106.97","65.89","0.98","18.57"
"NAM-INDIA","832.00","872.60","829.05","828.35","866.00","-","37.65","4.55","8,22,247","70.55","987.35","498.05","-0.01","10.23"
"DALBHARAT","1,991.00","2,077.60","1,991.00","1,987.10","2,075.00","-","87.90","4.42","5,50,121","113.07","2,496.30","1,601.00","1.34","5.37"
"SWIGGY","404.75","421.60","403.40","401.20","416.70","-","15.50","3.86","2,70,04,727","1,121.53","617.30","297.00","5.64","-20.29"
"IDEA","11.26","11.70","11.23","11.25","11.66","-","0.41","3.64","1,14,30,15,483","1,313.32","11.70","6.12","13.67","44.96"
"MOTILALOFS","839.80","869.95","835.60","832.50","862.45","-","29.95","3.60","18,45,810","159.39","1,097.10","513.00","-12.57","-14.38"
"NMDC","75.99","78.05","75.50","75.31","77.98","-","2.67","3.55","2,23,92,662","173.25","82.05","59.53","2.84","-67.68"
"AIAENG","3,654.70","3,778.00","3,639.40","3,638.20","3,766.00","-","127.80","3.51","62,306","23.28","3,920.00","3,001.10","5.13","6.68"
"JSWINFRA","267.00","276.25","266.20","267.00","275.80","-","8.80","3.30","12,57,910","34.19","349.00","218.20","-3.23","-15.45"
"NLCINDIA","236.50","244.80","236.50","236.31","243.90","-","7.59","3.21","9,35,426","22.60","292.20","186.03","-7.19","-7.51"
"BLUESTARCO","1,747.00","1,804.90","1,747.00","1,746.20","1,802.00","-","55.80","3.20","2,01,435","35.90","2,417.00","1,521.00","0.93","-15.69"
"COROMANDEL","2,260.90","2,339.90","2,253.20","2,248.90","2,315.00","-","66.10","2.94","2,71,513","62.92","2,718.90","1,596.00","6.83","31.53"
"DIXON","13,100.00","13,422.00","13,005.00","12,988.00","13,365.00","-","377.00","2.90","7,08,140","939.56","19,148.90","12,130.00","-11.36","-23.67"
"BHEL","276.85","287.50","276.85","276.50","284.45","-","7.95","2.88","1,20,84,724","343.53","295.25","176.00","-0.23","12.40"
"MUTHOOTFIN","3,765.00","3,848.10","3,751.10","3,734.20","3,841.90","-","107.70","2.88","4,37,084","166.15","3,848.10","1,965.00","13.23","85.89"
"THERMAX","2,851.90","2,958.40","2,821.00","2,798.70","2,877.00","-","78.30","2.80","4,28,416","123.65","4,989.00","2,742.70","-9.39","-39.59"
"CRISIL","4,384.00","4,514.90","4,383.90","4,384.00","4,506.00","-","122.00","2.78","49,198","22.05","6,950.00","3,973.60","-4.65","-17.43"
"HINDPETRO","449.00","461.50","448.50","448.05","460.20","-","12.15","2.71","26,17,358","119.33","494.45","287.55","-5.74","12.14"
"SRF","2,931.00","3,029.00","2,931.00","2,943.70","3,021.60","-","77.90","2.65","8,14,099","244.00","3,325.00","2,196.85","3.20","29.41"
"WAAREEENER","2,909.70","2,990.80","2,901.00","2,895.40","2,971.20","-","75.80","2.62","8,97,083","265.11","3,865.00","1,863.00","-10.20","-6.13"
"3MINDIA","34,735.00","35,540.00","34,475.00","34,480.00","35,360.00","-","880.00","2.55","5,706","20.15","37,000.00","25,718.15","-1.58","12.18"
"PAYTM","1,281.90","1,314.00","1,278.00","1,280.50","1,312.20","-","31.70","2.48","20,61,708","266.93","1,381.80","651.50","-2.09","36.53"
"ABCAPITAL","356.50","364.35","353.85","354.45","362.65","-","8.20","2.31","36,78,788","132.68","368.95","149.01","10.20","80.05"
"HEXT","752.50","764.95","748.50","747.75","764.90","-","17.15","2.29","2,43,145","18.44","900.00","590.30","14.84","-"
"ENDURANCE","2,564.90","2,654.00","2,551.80","2,559.70","2,616.00","-","56.30","2.20","59,608","15.49","3,079.90","1,675.00","-5.78","12.71"
"ASHOKLEY","160.75","164.86","160.35","160.33","163.84","-","3.51","2.19","1,37,31,776","224.60","164.86","95.93","12.20","-29.12"
"FORTIS","860.45","877.00","858.25","855.85","874.45","-","18.60","2.17","22,86,632","199.41","1,104.30","577.00","-11.43","22.47"
"VMM","131.99","135.10","130.24","131.72","134.50","-","2.78","2.11","70,44,688","94.15","157.60","95.99","-1.78","-"
"JKCEMENT","5,600.00","5,767.00","5,531.50","5,604.00","5,722.50","-","118.50","2.11","84,361","47.87","7,565.50","4,218.90","3.58","21.80"
"IDFCFIRSTB","80.62","82.82","80.62","80.61","82.29","-","1.68","2.08","3,56,82,799","292.46","82.82","52.46","1.98","26.21"
"GICRE","379.00","387.00","376.10","375.10","382.85","-","7.75","2.07","6,94,903","26.57","525.50","351.00","-0.62","-10.11"
"SUZLON","52.50","53.10","52.50","52.04","53.10","-","1.06","2.04","4,25,24,157","224.83","74.30","46.15","-8.30","-19.81"
"FACT","815.05","831.00","811.05","809.60","826.00","-","16.40","2.03","1,01,318","8.34","1,112.00","565.00","-5.70","-19.52"
"ICICIPRULI","635.85","649.00","633.30","635.85","648.50","-","12.65","1.99","8,45,174","54.35","700.00","525.80","3.66","-6.87"
"PERSISTENT","6,240.00","6,357.00","6,204.00","6,204.00","6,325.50","-","121.50","1.96","3,11,443","195.63","6,788.90","4,148.95","5.07","-0.37"
"AUROPHARMA","1,175.10","1,199.50","1,170.40","1,172.20","1,195.10","-","22.90","1.95","6,70,100","79.71","1,356.20","1,010.00","2.30","-2.51"
"SONACOMS","485.65","493.75","484.05","483.15","492.50","-","9.35","1.94","28,96,193","141.24","649.05","380.00","0.55","-23.26"
"GODREJPROP","2,045.00","2,081.50","2,038.40","2,035.60","2,075.00","-","39.40","1.94","4,81,256","99.09","3,015.00","1,900.00","-3.86","-28.76"
"LTF","303.50","309.00","302.60","301.70","307.50","-","5.80","1.92","35,51,485","108.92","315.35","129.20","4.34","105.14"
"OBEROIRLTY","1,640.10","1,677.00","1,640.10","1,632.80","1,664.20","-","31.40","1.92","3,74,480","62.20","2,343.65","1,451.95","-5.84","-22.24"
"SAIL","130.50","132.60","130.40","129.54","132.00","-","2.46","1.90","1,10,49,524","145.52","145.90","99.15","-8.66","3.90"
"GODFRYPHLP","2,810.00","2,883.30","2,799.20","2,802.50","2,855.00","-","52.50","1.87","2,55,047","72.62","3,947.00","1,370.82","-5.72","-52.38"
"PGHH","12,579.00","12,800.00","12,510.00","12,562.00","12,789.00","-","227.00","1.81","4,816","6.09","16,190.00","12,105.60","-1.11","-19.51"
"GVT&D","3,015.00","3,083.00","3,013.70","2,998.60","3,050.00","-","51.40","1.71","4,10,913","125.45","3,323.80","1,254.00","-2.27","55.85"
"KALYANKJIL","473.35","480.00","470.10","470.05","478.00","-","7.95","1.69","14,71,440","70.04","795.40","399.40","-5.91","-37.18"
"M&MFIN","343.30","354.45","339.85","340.30","346.00","-","5.70","1.67","33,14,650","115.70","387.00","231.02","613.45","9.41"
"VOLTAS","1,355.00","1,379.70","1,353.60","1,353.40","1,376.00","-","22.60","1.67","3,71,973","50.82","1,859.40","1,135.00","5.63","-23.37"
"POWERINDIA","19,340.00","19,645.00","19,285.00","19,230.00","19,540.00","-","310.00","1.61","65,567","127.77","22,840.00","8,801.00","-10.61","54.48"
"LUPIN","2,083.00","2,117.20","2,080.00","2,081.80","2,112.40","-","30.60","1.47","5,74,240","120.81","2,402.90","1,795.20","6.98","-1.70"
"UNIONBANK","150.60","153.06","149.83","150.53","152.73","-","2.20","1.46","90,61,839","137.53","160.15","100.81","0.08","18.23"
"BHARATFORG","1,414.90","1,430.00","1,404.70","1,407.40","1,428.00","-","20.60","1.46","5,09,588","72.23","1,460.20","919.10","1.75","3.42"
"IGL","184.60","187.06","184.60","184.18","186.70","-","2.52","1.37","7,18,465","13.38","229.00","172.00","-10.36","-52.47"
"ITCHOTELS","192.85","194.45","192.05","191.36","193.95","-","2.59","1.35","43,64,097","84.37","261.62","155.10","-6.74","-"
"SUNDARMFIN","4,700.00","4,835.00","4,700.00","4,689.00","4,752.00","-","63.00","1.34","43,735","20.94","5,419.00","4,066.80","-0.02","9.96"
"CUMMINSIND","4,549.00","4,615.00","4,530.00","4,531.90","4,590.00","-","58.10","1.28","4,65,150","212.68","4,615.00","2,580.00","4.21","27.62"
"TATAINVEST","714.50","736.40","714.50","714.05","722.80","-","8.75","1.23","4,76,652","34.60","1,184.70","514.52","-7.30","-89.67"
"INDUSINDBK","840.05","851.20","839.00","835.55","845.75","-","10.20","1.22","34,92,109","295.06","1,086.55","606.00","2.43","-14.08"
"PHOENIXLTD","1,750.00","1,776.00","1,727.10","1,743.80","1,765.00","-","21.20","1.22","4,18,292","73.72","1,890.90","1,402.50","1.97","-5.20"
"UNOMINDA","1,239.80","1,253.70","1,227.40","1,234.90","1,249.90","-","15.00","1.21","3,09,863","38.35","1,382.00","767.60","-4.81","15.76"
"GUJGASLTD","392.25","396.85","391.75","391.65","396.40","-","4.75","1.21","1,26,856","5.00","524.25","360.25","-2.12","-23.68"
"SYNGENE","640.85","652.70","639.90","640.85","648.55","-","7.70","1.20","7,77,102","50.33","917.95","599.55","0.33","-28.49"
"BALKRISIND","2,330.00","2,356.00","2,310.20","2,317.20","2,343.10","-","25.90","1.12","39,400","9.19","2,928.00","2,152.05","0.32","-16.71"
"BSE","2,715.40","2,743.70","2,680.00","2,698.80","2,728.30","-","29.50","1.09","38,13,800","1,035.90","3,030.00","1,227.33","3.43","-50.74"
"IREDA","135.00","136.64","134.50","134.48","135.91","-","1.43","1.06","35,98,713","48.72","234.29","129.11","-8.63","-39.59"
"POLYCAB","7,230.00","7,298.00","7,193.50","7,218.50","7,291.00","-","72.50","1.00","1,58,727","114.97","7,903.00","4,555.00","-5.00","-1.69"
"MEDANTA","1,149.00","1,158.50","1,143.00","1,143.00","1,154.00","-","11.00","0.96","1,24,344","14.32","1,456.50","996.45","-1.75","2.53"
