"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,535.00","20,690.95","20,485.60","20,470.55","20,663.00","-","192.45","0.94","17,88,29,088","5,610.19","21,028.05","13,363.10","2.70","-"
"PNBHOUSING","902.70","952.00","899.90","900.15","945.05","-","44.90","4.99","39,06,514","366.22","1,141.90","746.70","4.30","-0.30"
"BANDHANBNK","145.25","150.35","145.25","145.29","149.65","-","4.36","3.00","1,20,07,352","178.71","192.48","128.16","-0.91","-14.25"
"MUTHOOTFIN","3,765.00","3,848.10","3,751.10","3,734.20","3,841.90","-","107.70","2.88","4,37,084","166.15","3,848.10","1,965.00","13.23","85.89"
"PAYTM","1,281.90","1,314.00","1,278.00","1,280.50","1,312.20","-","31.70","2.48","20,61,708","266.93","1,381.80","651.50","-2.09","36.53"
"ABCAPITAL","356.50","364.35","353.85","354.45","362.65","-","8.20","2.31","36,78,788","132.68","368.95","149.01","10.20","80.05"
"MCX","10,020.00","10,188.00","9,972.00","9,938.00","10,167.00","-","229.00","2.30","4,43,958","448.36","10,516.00","4,408.15","7.02","51.53"
"IDFCFIRSTB","80.62","82.82","80.62","80.61","82.29","-","1.68","2.08","3,56,82,799","292.46","82.82","52.46","1.98","26.21"
"ICICIPRULI","635.85","649.00","633.30","635.85","648.50","-","12.65","1.99","8,45,174","54.35","700.00","525.80","3.66","-6.87"
"LTF","303.50","309.00","302.60","301.70","307.50","-","5.80","1.92","35,51,485","108.92","315.35","129.20","4.34","105.14"
"UNIONBANK","150.60","153.06","149.83","150.53","152.73","-","2.20","1.46","90,61,839","137.53","160.15","100.81","0.08","18.23"
"INDUSINDBK","840.05","851.20","839.00","835.55","845.75","-","10.20","1.22","34,92,109","295.06","1,086.55","606.00","2.43","-14.08"
"BSE","2,715.40","2,743.70","2,680.00","2,698.80","2,728.30","-","29.50","1.09","38,13,800","1,035.90","3,030.00","1,227.33","3.43","-50.74"
"MANAPPURAM","283.00","288.80","283.00","283.15","286.20","-","3.05","1.08","28,57,546","81.75","298.00","168.83","4.62","61.93"
"INDIANB","784.30","793.50","781.15","782.65","789.80","-","7.15","0.91","15,33,875","120.58","894.85","473.90","-9.05","35.36"
"MFSL","1,711.00","1,724.90","1,707.50","1,703.60","1,716.50","-","12.90","0.76","5,47,322","93.99","1,751.40","950.00","5.11","50.14"
"360ONE","1,135.20","1,147.00","1,127.70","1,135.80","1,142.70","-","6.90","0.61","2,58,119","29.38","1,318.00","790.50","6.75","-5.69"
"ANGELONE","2,588.00","2,604.60","2,560.00","2,577.40","2,591.10","-","13.70","0.53","4,25,175","109.97","3,471.95","1,941.00","-1.75","-23.66"
"HUDCO","213.80","214.86","211.78","212.53","213.64","-","1.11","0.52","16,72,572","35.68","262.70","158.85","-7.37","-15.51"
"BANKINDIA","141.00","141.57","139.83","140.76","141.20","-","0.44","0.31","32,10,687","45.24","151.43","90.05","-3.02","23.46"
"IEX","143.03","143.95","141.66","142.45","142.81","-","0.36","0.25","33,01,998","47.14","215.40","130.26","2.77","-24.74"
"HDFCAMC","2,676.00","2,681.30","2,653.60","2,664.70","2,669.10","-","4.40","0.17","13,04,915","348.34","2,967.25","1,781.53","-51.19","-41.14"
"SBICARD","871.95","879.85","871.80","873.20","874.30","-","1.10","0.13","4,28,193","37.46","1,027.25","663.05","1.29","19.69"
"CDSL","1,531.00","1,537.40","1,518.00","1,522.70","1,524.00","-","1.30","0.09","9,07,070","138.56","1,989.80","1,047.45","-4.65","-20.92"
"FEDERALBNK","261.50","263.60","259.95","260.90","261.00","-","0.10","0.04","84,84,790","221.61","263.60","172.66","10.79","21.74"
"YESBANK","21.94","22.09","21.84","21.94","21.93","-","-0.01","-0.05","6,58,86,403","144.49","24.30","16.02","-3.14","1.58"
"LICHSGFIN","534.40","538.60","531.10","533.40","532.00","-","-1.40","-0.26","12,85,079","68.50","646.50","483.70","-6.84","-16.40"
"CAMS","762.40","764.80","750.70","756.70","754.20","-","-2.50","-0.33","6,32,623","47.95","1,073.50","606.21","-80.33","-85.54"
"AUBANK","974.10","977.60","963.40","973.00","968.50","-","-4.50","-0.46","19,32,538","187.24","1,007.25","478.35","8.84","64.05"
"RBLBANK","311.20","314.45","304.95","311.20","307.60","-","-3.60","-1.16","38,91,673","120.15","332.00","146.10","-4.00","71.80"
"POLICYBZR","1,948.10","1,959.00","1,913.30","1,948.10","1,923.00","-","-25.10","-1.29","12,85,900","248.91","2,246.90","1,311.35","7.18","-11.07"
