"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALL HEALTHCARE","43,370.10","43,554.95","43,258.45","43,248.10","43,474.10","-","226.00","0.52","2,18,59,572","1,796.84","46,103.35","31,279.60","-0.74","0.09"
"FORTIS","860.45","877.00","858.25","855.85","874.45","-","18.60","2.17","22,86,632","199.41","1,104.30","577.00","-11.43","22.47"
"AUROPHARMA","1,175.10","1,199.50","1,170.40","1,172.20","1,195.10","-","22.90","1.95","6,70,100","79.71","1,356.20","1,010.00","2.30","-2.51"
"GRANULES","566.95","577.50","563.40","564.75","574.00","-","9.25","1.64","12,74,628","73.05","621.10","422.00","7.29","-1.85"
"LUPIN","2,083.00","2,117.20","2,080.00","2,081.80","2,112.40","-","30.60","1.47","5,74,240","120.81","2,402.90","1,795.20","6.98","-1.70"
"PPLPHARMA","172.39","176.28","170.65","171.79","173.97","-","2.18","1.27","71,77,114","124.67","273.35","169.58","-10.18","-32.48"
"SYNGENE","640.85","652.70","639.90","640.85","648.55","-","7.70","1.20","7,77,102","50.33","917.95","599.55","0.33","-28.49"
"COHANCE","530.00","542.00","529.95","530.70","536.00","-","5.30","1.00","5,15,022","27.54","1,328.00","521.30","-22.47","-"
"MEDANTA","1,149.00","1,158.50","1,143.00","1,143.00","1,154.00","-","11.00","0.96","1,24,344","14.32","1,456.50","996.45","-1.75","2.53"
"BIOCON","382.70","388.75","382.50","381.75","385.35","-","3.60","0.94","19,66,174","75.98","424.95","291.00","0.32","5.03"
"GLENMARK","1,965.30","1,979.70","1,951.10","1,956.00","1,968.10","-","12.10","0.62","3,59,560","70.71","2,284.80","1,275.50","8.68","29.39"
"ASTERDM","620.45","624.00","615.90","616.40","620.15","-","3.75","0.61","2,66,505","16.53","732.20","387.10","-8.46","26.85"
"PFIZER","5,006.00","5,036.00","4,971.00","5,007.70","5,034.00","-","26.30","0.53","15,778","7.88","5,993.00","3,701.00","0.06","-1.50"
"RAINBOW","1,388.00","1,388.00","1,373.90","1,379.70","1,386.60","-","6.90","0.50","1,14,876","15.87","1,660.00","1,218.00","2.19","-15.76"
"KIMS","660.00","667.90","655.00","658.20","661.05","-","2.85","0.43","2,57,010","17.03","798.40","474.05","-1.16","8.35"
"WOCKPHARMA","1,337.10","1,350.60","1,323.00","1,336.20","1,341.00","-","4.80","0.36","4,21,136","56.38","1,868.80","1,110.05","0.71","-6.02"
"AJANTPHARM","2,667.00","2,667.80","2,630.00","2,651.40","2,660.30","-","8.90","0.34","81,623","21.69","3,115.90","2,327.30","3.19","-4.79"
"POLYMED","1,885.00","1,895.50","1,872.50","1,880.80","1,885.00","-","4.20","0.22","35,518","6.70","2,986.35","1,821.20","-8.41","-35.83"
"MANKIND","2,176.00","2,189.90","2,150.00","2,166.80","2,170.70","-","3.90","0.18","11,07,746","239.78","3,054.80","2,115.10","-1.88","-16.98"
"ALKEM","5,666.00","5,676.00","5,587.50","5,626.00","5,614.50","-","-11.50","-0.20","35,892","20.17","5,868.00","4,491.65","-1.15","2.57"
"LALPATHLAB","2,902.80","2,924.00","2,852.90","2,885.30","2,877.00","-","-8.30","-0.29","1,53,975","44.37","3,540.00","2,293.55","-6.19","-8.85"
"NEULANDLAB","16,255.00","16,485.00","15,962.00","16,176.00","16,100.00","-","-76.00","-0.47","42,061","68.16","19,747.00","10,190.70","-6.48","-5.16"
"ABBOTINDIA","28,210.00","28,210.00","27,950.00","28,205.00","28,000.00","-","-205.00","-0.73","5,059","14.19","37,000.00","25,325.00","-5.21","-2.99"
"IPCALAB","1,478.30","1,487.90","1,458.90","1,471.90","1,460.80","-","-11.10","-0.75","98,690","14.51","1,755.90","1,168.20","10.89","-5.56"
"NH","1,894.90","1,894.90","1,865.80","1,884.90","1,870.00","-","-14.90","-0.79","1,68,262","31.56","2,370.20","1,256.55","6.33","46.10"
"GLAXO","2,624.00","2,635.00","2,559.00","2,622.10","2,600.90","-","-21.20","-0.81","1,70,216","43.99","3,515.70","1,921.00","5.03","10.82"
"LAURUSLABS","1,016.10","1,027.50","1,006.10","1,019.30","1,010.10","-","-9.20","-0.90","12,44,218","126.53","1,040.20","501.15","2.70","76.74"
"JBCHEPHARM","1,815.80","1,826.40","1,790.20","1,815.80","1,798.00","-","-17.80","-0.98","1,11,520","20.12","1,952.00","1,385.75","-1.66","-0.92"
"GLAND","1,706.80","1,720.30","1,672.40","1,691.90","1,674.10","-","-17.80","-1.05","1,72,618","29.34","2,131.00","1,277.80","-9.32","-5.45"
"NATCOPHARM","914.80","924.35","901.05","917.55","905.00","-","-12.55","-1.37","13,94,378","126.91","1,502.00","726.80","14.21","-38.08"
"ONESOURCE","1,647.00","1,647.60","1,598.00","1,653.60","1,613.10","-","-40.50","-2.45","2,37,575","38.59","2,248.00","1,209.95","-6.67","-"
