"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY NEXT 50","68,141.75","68,564.00","68,031.85","67,939.50","68,509.70","-","570.20","0.84","21,53,20,062","10,189.14","70,956.25","56,192.45","-1.74","-6.53"
"HINDZINC","533.00","567.45","532.35","522.65","561.00","-","38.35","7.34","3,94,06,555","2,180.33","567.45","378.15","15.21","10.31"
"JSWENERGY","457.80","485.10","457.80","457.80","483.00","-","25.20","5.50","57,49,586","273.28","700.90","418.75","-8.47","-28.84"
"BPCL","352.50","366.65","352.50","351.30","365.00","-","13.70","3.90","61,01,145","219.92","381.55","234.01","-2.43","18.73"
"ADANIPOWER","141.39","145.00","141.39","140.58","144.41","-","3.83","2.72","1,34,50,435","192.62","182.70","89.00","-4.42","-72.17"
"VEDL","535.00","546.55","535.00","529.05","543.10","-","14.05","2.66","1,86,29,112","1,008.75","546.55","363.00","3.77","5.69"
"NAUKRI","1,343.70","1,379.90","1,343.50","1,343.50","1,376.20","-","32.70","2.43","5,94,311","81.08","1,825.78","1,157.00","2.74","-83.90"
"ADANIGREEN","1,024.00","1,042.00","1,024.00","1,018.80","1,038.20","-","19.40","1.90","26,15,096","271.15","1,252.30","758.00","-0.38","-9.39"
"AMBUJACEM","536.90","549.95","536.90","536.10","546.25","-","10.15","1.89","24,88,693","136.04","624.95","455.00","-1.69","-5.24"
"JINDALSTEL","1,019.00","1,032.50","1,017.90","1,012.90","1,029.00","-","16.10","1.59","8,46,932","86.87","1,098.00","723.35","-4.69","3.50"
"IOC","162.35","164.90","162.06","161.75","163.85","-","2.10","1.30","1,34,92,656","220.73","174.50","110.72","-5.09","14.30"
"MOTHERSON","120.49","121.48","119.97","119.80","121.30","-","1.50","1.25","1,48,76,284","179.69","121.48","71.50","15.02","-27.28"
"LICI","865.00","870.00","861.25","858.35","867.75","-","9.40","1.10","5,13,683","44.45","980.00","715.30","-3.66","-7.58"
"GAIL","170.00","174.29","169.30","168.95","170.65","-","1.70","1.01","1,84,97,271","316.28","207.82","150.52","-6.38","-17.06"
"BRITANNIA","5,848.00","5,925.50","5,830.00","5,847.00","5,905.00","-","58.00","0.99","2,02,721","119.27","6,336.00","4,506.00","-0.59","20.98"
"SHREECEM","26,100.00","26,460.00","26,100.00","26,080.00","26,315.00","-","235.00","0.90","23,933","62.90","32,490.00","24,817.80","-2.77","-3.74"
"INDHOTEL","730.00","740.95","727.35","729.00","735.40","-","6.40","0.88","27,84,620","205.04","894.90","672.60","5.35","-12.12"
"ADANIENSOL","1,000.05","1,016.35","998.80","999.60","1,008.15","-","8.55","0.86","21,10,784","212.37","1,050.00","639.45","2.22","27.77"
"CHOLAFIN","1,719.40","1,740.40","1,703.80","1,719.40","1,734.00","-","14.60","0.85","23,09,890","397.45","1,782.00","1,168.00","-0.36","28.66"
"ABB","5,270.00","5,299.00","5,230.00","5,242.50","5,281.50","-","39.00","0.74","2,00,377","105.48","7,960.00","4,684.45","6.02","-31.71"
"LODHA","1,087.20","1,096.20","1,079.40","1,080.50","1,088.30","-","7.80","0.72","11,74,813","128.07","1,531.00","1,035.15","-10.64","-22.67"
"DLF","697.00","705.00","691.70","693.65","698.30","-","4.65","0.67","24,47,290","170.85","896.60","601.20","-8.61","-20.14"
"VBL","478.50","481.55","473.45","478.50","481.40","-","2.90","0.61","28,10,867","134.36","663.60","419.55","1.99","-25.47"
"TVSMOTOR","3,631.00","3,660.00","3,623.00","3,637.40","3,656.50","-","19.10","0.53","2,90,853","105.87","3,720.00","2,171.40","5.21","44.39"
