"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SMALLCAP 250","16,314.80","16,408.40","16,300.10","16,261.35","16,396.85","-","135.50","0.83","50,58,60,863","17,200.55","18,166.40","13,314.70","-3.51","-11.38"
"TARIL","241.70","284.65","241.70","239.15","277.50","-","38.35","16.04","6,23,99,322","1,659.20","648.90","230.10","-0.71","-74.23"
"ANANTRAJ","507.40","556.55","506.25","504.90","548.35","-","43.45","8.61","1,85,32,409","1,003.29","947.90","376.15","-10.47","-24.29"
"HINDCOPPER","362.00","384.70","362.00","357.05","383.20","-","26.15","7.32","4,45,20,103","1,679.03","384.70","183.82","6.28","31.80"
"CCL","976.00","1,033.00","966.10","967.50","1,030.00","-","62.50","6.46","4,79,689","48.22","1,074.40","525.00","-0.96","29.42"
"CHOICEIN","715.05","751.00","711.00","704.95","745.00","-","40.05","5.68","12,94,011","95.41","841.00","438.45","-5.83","34.09"
"KAYNES","4,119.00","4,281.50","4,100.00","4,041.50","4,256.50","-","215.00","5.32","72,32,940","3,050.10","7,822.00","3,712.50","-33.92","-34.45"
"GMDCLTD","504.00","529.90","499.00","494.10","519.60","-","25.50","5.16","1,16,63,541","607.75","651.00","226.59","-13.34","40.63"
"SARDAEN","489.00","515.95","487.00","486.45","511.50","-","25.05","5.15","10,62,085","53.68","639.75","396.60","-3.07","3.56"
"CUB","262.70","275.50","261.30","262.15","275.40","-","13.25","5.05","42,95,305","115.81","284.00","142.91","4.77","47.08"
"IKS","1,574.00","1,658.00","1,562.70","1,568.30","1,647.00","-","78.70","5.02","2,68,320","43.70","2,189.00","1,236.80","-0.52","-"
"RELINFRA","130.00","135.75","129.93","129.29","135.75","-","6.46","5.00","10,55,531","14.14","423.40","128.38","-21.89","-53.73"
"PNBHOUSING","902.70","952.00","899.90","900.15","945.05","-","44.90","4.99","39,06,514","366.22","1,141.90","746.70","4.30","-0.30"
"GRAVITA","1,784.30","1,850.00","1,784.30","1,772.80","1,845.00","-","72.20","4.07","2,86,250","52.29","2,474.85","1,379.65","6.24","-18.15"
"SAMMAANCAP","145.50","150.00","145.50","144.43","149.60","-","5.17","3.58","2,01,79,714","299.83","192.95","97.61","-15.24","-10.94"
"KIRLOSBROS","1,594.80","1,656.50","1,583.60","1,578.20","1,632.00","-","53.80","3.41","48,842","7.91","2,475.00","1,422.35","-3.70","-29.04"
"RPOWER","34.05","34.70","33.66","33.54","34.60","-","1.06","3.16","3,69,16,286","126.18","76.49","31.27","-16.17","-21.59"
"ABFRL","76.00","78.00","75.50","75.45","77.79","-","2.34","3.10","20,44,942","15.74","313.50","70.55","-1.32","-74.91"
"RAMCOCEM","1,037.00","1,067.00","1,029.20","1,028.00","1,059.40","-","31.40","3.05","6,93,660","73.11","1,209.00","788.20","5.63","3.39"
"BANDHANBNK","145.25","150.35","145.25","145.29","149.65","-","4.36","3.00","1,20,07,352","178.71","192.48","128.16","-0.91","-14.25"
"SOBHA","1,422.70","1,455.00","1,410.00","1,406.70","1,448.50","-","41.80","2.97","1,13,871","16.36","1,732.50","1,075.30","-10.11","-10.78"
"PGEL","552.00","575.95","544.20","548.20","563.70","-","15.50","2.83","40,93,056","229.28","1,054.20","465.00","7.16","-33.16"
"NUVOCO","340.45","347.00","335.70","337.45","347.00","-","9.55","2.83","2,37,227","8.16","477.50","287.05","-7.90","-6.75"
"TEJASNET","474.50","499.95","469.20","465.95","478.75","-","12.80","2.75","58,13,714","283.98","1,345.85","456.05","-5.36","-63.63"
"INOXWIND","122.50","124.99","121.77","121.55","124.85","-","3.30","2.71","57,29,656","70.80","209.11","118.28","-17.90","-38.84"
"MMTC","54.50","55.97","53.71","53.97","55.43","-","1.46","2.71","44,68,197","24.57","88.19","44.50","-16.72","-31.84"
"USHAMART","431.90","444.45","430.50","429.55","440.50","-","10.95","2.55","8,87,439","38.99","497.10","278.55","-6.16","8.15"
"FORCEMOT","17,020.00","17,555.00","17,020.00","16,978.00","17,397.00","-","419.00","2.47","42,146","73.30","21,990.00","6,125.00","-0.80","163.02"
"MANYAVAR","585.30","597.65","582.80","582.20","596.00","-","13.80","2.37","76,244","4.53","1,385.05","579.40","-4.09","-55.86"
"GSPL","283.85","290.10","283.55","282.45","289.10","-","6.65","2.35","3,69,498","10.63","394.80","261.45","-3.84","-25.34"
"NSLNISP","40.89","41.70","40.81","40.69","41.64","-","0.95","2.33","25,28,603","10.47","49.65","32.13","-5.17","-12.93"
"AEGISLOG","742.45","761.95","738.25","734.55","751.50","-","16.95","2.31","3,28,234","24.72","1,037.00","609.85","-3.76","-3.11"
"MCX","10,020.00","10,188.00","9,972.00","9,938.00","10,167.00","-","229.00","2.30","4,43,958","448.36","10,516.00","4,408.15","7.02","51.53"
"GPIL","234.43","239.20","233.79","233.42","238.80","-","5.38","2.30","10,62,488","25.17","290.00","145.75","-13.30","1.91"
"JMFINANCIL","143.53","146.91","142.68","142.82","145.95","-","3.13","2.19","29,74,275","43.26","199.80","80.20","-0.83","3.78"
"KIRLOSENG","1,110.00","1,148.90","1,109.60","1,116.30","1,140.00","-","23.70","2.12","1,65,950","18.82","1,194.95","544.40","21.07","-1.59"
"IIFL","570.00","582.25","566.45","568.20","580.00","-","11.80","2.08","8,31,174","47.92","592.80","279.80","7.44","30.53"
"EMCURE","1,409.40","1,469.00","1,408.00","1,409.30","1,438.00","-","28.70","2.04","1,77,399","25.62","1,519.90","889.00","5.03","5.13"
"HONASA","260.00","269.00","253.15","256.30","261.50","-","5.20","2.03","53,42,674","139.90","334.20","197.51","-4.88","0.33"
"UTIAMC","1,125.00","1,152.30","1,125.00","1,124.20","1,147.00","-","22.80","2.03","1,09,215","12.50","1,494.80","905.00","-2.31","-17.82"
"JUBLINGREA","680.90","699.30","679.90","680.90","694.00","-","13.10","1.92","1,20,820","8.37","885.00","535.20","4.52","-18.17"
"KAJARIACER","1,034.40","1,058.50","1,033.30","1,034.40","1,054.00","-","19.60","1.89","6,31,288","66.11","1,321.90","758.70","-5.11","-12.94"
"KARURVYSYA","242.80","245.85","242.40","241.69","245.84","-","4.15","1.72","9,05,409","22.12","258.50","154.63","-0.18","2.79"
"HSCL","462.00","474.40","461.50","459.25","466.90","-","7.65","1.67","8,64,587","40.44","606.60","365.35","1.38","-18.17"
"OLECTRA","1,200.00","1,220.00","1,195.90","1,194.20","1,213.90","-","19.70","1.65","2,06,315","24.95","1,714.20","989.95","-13.80","-25.96"
"TRIVENI","352.00","359.50","351.00","351.20","357.00","-","5.80","1.65","3,50,093","12.49","536.00","313.10","-1.32","-25.13"
"GRANULES","566.95","577.50","563.40","564.75","574.00","-","9.25","1.64","12,74,628","73.05","621.10","422.00","7.29","-1.85"
"BRIGADE","879.45","887.90","870.90","871.40","885.45","-","14.05","1.61","1,28,353","11.31","1,338.70","838.50","-8.50","-28.31"
