"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","17,822.90","17,932.95","17,814.30","17,767.60","17,923.60","-","156.00","0.88","2,60,20,84,873","66,339.07","18,330.05","14,479.00","-0.97","-"
"TARIL","241.70","284.65","241.70","239.15","277.50","-","38.35","16.04","6,23,99,322","1,659.20","648.90","230.10","-0.71","-74.23"
"ANANTRAJ","507.40","556.55","506.25","504.90","548.35","-","43.45","8.61","1,85,32,409","1,003.29","947.90","376.15","-10.47","-24.29"
"HINDZINC","533.00","567.45","532.35","522.65","561.00","-","38.35","7.34","3,94,06,555","2,180.33","567.45","378.15","15.21","10.31"
"HINDCOPPER","362.00","384.70","362.00","357.05","383.20","-","26.15","7.32","4,45,20,103","1,679.03","384.70","183.82","6.28","31.80"
"CCL","976.00","1,033.00","966.10","967.50","1,030.00","-","62.50","6.46","4,79,689","48.22","1,074.40","525.00","-0.96","29.42"
"GMRAIRPORT","98.90","104.74","98.23","98.16","104.20","-","6.04","6.15","7,16,79,432","734.43","110.36","67.75","9.27","22.12"
"CHOICEIN","715.05","751.00","711.00","704.95","745.00","-","40.05","5.68","12,94,011","95.41","841.00","438.45","-5.83","34.09"
"JSWENERGY","457.80","485.10","457.80","457.80","483.00","-","25.20","5.50","57,49,586","273.28","700.90","418.75","-8.47","-28.84"
"NIACL","163.80","175.80","162.33","162.41","171.20","-","8.79","5.41","34,10,128","58.12","221.80","135.60","-5.93","-18.15"
"KAYNES","4,119.00","4,281.50","4,100.00","4,041.50","4,256.50","-","215.00","5.32","72,32,940","3,050.10","7,822.00","3,712.50","-33.92","-34.45"
"NATIONALUM","266.75","279.75","266.35","264.30","278.30","-","14.00","5.30","2,19,81,929","606.00","279.75","137.75","4.70","11.47"
