"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY 50","25,767.90","25,940.20","25,740.80","25,879.15","25,910.05","-","30.90","0.12","51,89,43,416","33,121.60","26,104.20","21,743.65","3.04","9.98"
"TMCV","310.00","335.00","306.30","320.75","331.00","-","10.25","3.20","16,55,19,798","5,254.26","345.00","306.30","-","-"
"ETERNAL","295.00","305.25","294.75","297.75","304.15","-","6.40","2.15","3,73,78,739","1,125.21","368.45","194.80","-12.65","-"
"BEL","418.80","428.70","418.70","419.80","426.50","-","6.70","1.60","1,47,19,899","624.83","436.00","240.25","6.08","51.61"
"AXISBANK","1,224.00","1,246.00","1,222.00","1,225.20","1,244.40","-","19.20","1.57","51,97,740","643.76","1,276.10","933.50","5.51","8.99"
"TRENT","4,335.00","4,399.90","4,327.00","4,326.40","4,392.00","-","65.60","1.52","8,08,967","352.77","7,493.05","4,262.60","-4.89","-32.42"
"SBIN","952.95","969.05","952.00","954.00","967.95","-","13.95","1.46","1,10,32,927","1,061.78","971.40","680.00","10.37","19.69"
"ADANIENT","2,500.00","2,553.70","2,481.00","2,488.20","2,524.10","-","35.90","1.44","44,96,233","1,135.07","2,894.80","2,025.00","-0.01","-10.65"
"JIOFIN","311.00","315.70","309.30","310.70","315.00","-","4.30","1.38","1,36,75,544","429.48","347.35","198.65","3.04","5.18"
"ONGC","245.50","249.65","245.10","250.85","247.50","-","2.65","1.08","91,85,042","227.46","273.50","205.00","1.19","-1.96"
"BAJFINANCE","1,004.90","1,019.90","1,002.60","1,005.40","1,016.10","-","10.70","1.06","43,81,122","443.97","1,102.50","645.10","-0.06","-84.49"
"ADANIPORTS","1,500.00","1,523.60","1,497.00","1,499.00","1,514.60","-","15.60","1.04","23,45,593","354.71","1,523.60","995.65","5.86","17.45"
"SUNPHARMA","1,737.40","1,760.10","1,734.70","1,737.40","1,755.00","-","17.60","1.01","16,67,322","292.19","1,910.00","1,548.00","6.21","-1.23"
"DRREDDY","1,235.20","1,249.00","1,231.80","1,234.90","1,246.90","-","12.00","0.97","8,27,643","102.95","1,405.90","1,020.00","0.70","0.08"
"COALINDIA","383.20","387.35","382.30","383.20","386.75","-","3.55","0.93","37,60,163","144.96","427.45","349.25","1.58","-4.90"
"ASIANPAINT","2,865.10","2,909.90","2,862.00","2,879.40","2,902.00","-","22.60","0.78","24,94,076","723.02","2,909.90","2,124.75","25.38","17.64"
"HINDUNILVR","2,405.10","2,430.20","2,392.00","2,407.60","2,426.00","-","18.40","0.76","9,75,973","236.25","2,750.00","2,136.00","-2.98","-1.51"
"ITC","404.70","408.75","400.10","405.70","408.25","-","2.55","0.63","6,40,20,258","2,569.71","491.00","390.15","2.86","-13.56"
"SBILIFE","1,982.60","2,003.90","1,977.80","1,987.90","2,000.00","-","12.10","0.61","6,78,599","135.06","2,017.90","1,372.55","10.17","29.37"
"NTPC","327.00","329.90","326.20","326.95","328.85","-","1.90","0.58","91,69,855","300.79","387.60","292.80","-2.44","-13.87"
"RELIANCE","1,505.50","1,520.90","1,505.50","1,510.90","1,518.20","-","7.30","0.48","76,82,823","1,165.11","1,551.00","1,114.85","10.39","21.31"
