"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY FINANCIAL SERVICES EX-BANK","31,678.50","31,871.15","31,647.75","31,669.80","31,837.15","-","167.35","0.53","7,60,71,020","8,293.72","32,025.30","21,702.40","4.38","-"
"MUTHOOTFIN","3,650.00","3,755.00","3,580.00","3,393.10","3,730.00","-","336.90","9.93","47,43,416","1,758.57","3,755.00","1,756.05","15.76","110.45"
"BSE","2,741.00","2,834.00","2,740.30","2,760.20","2,825.50","-","65.30","2.37","57,87,981","1,624.15","3,030.00","1,227.33","15.49","-37.05"
"JIOFIN","311.00","315.70","309.30","310.70","315.00","-","4.30","1.38","1,36,75,544","429.48","347.35","198.65","3.04","5.18"
"ANGELONE","2,713.50","2,757.00","2,710.70","2,713.50","2,745.00","-","31.50","1.16","5,36,041","146.79","3,503.15","1,941.00","14.17","5.02"
"BAJFINANCE","1,004.90","1,019.90","1,002.60","1,005.40","1,016.10","-","10.70","1.06","43,81,122","443.97","1,102.50","645.10","-0.06","-84.49"
"MCX","9,575.00","9,744.00","9,439.50","9,597.00","9,665.00","-","68.00","0.71","4,42,979","426.73","9,764.00","4,408.15","2.86","62.49"
"POLICYBZR","1,741.90","1,748.00","1,715.00","1,734.70","1,746.70","-","12.00","0.69","10,48,282","181.34","2,246.90","1,311.35","1.76","6.48"
"LICI","900.00","910.75","897.60","902.85","909.00","-","6.15","0.68","8,30,405","75.22","1,007.80","715.30","0.83","1.29"
"LTF","291.95","296.75","290.15","292.20","294.10","-","1.90","0.65","48,21,228","142.00","308.25","129.20","11.87","116.43"
"SBILIFE","1,982.60","2,003.90","1,977.80","1,987.90","2,000.00","-","12.10","0.61","6,78,599","135.06","2,017.90","1,372.55","10.17","29.37"
"PFC","373.25","375.45","371.15","372.90","375.15","-","2.25","0.60","49,54,031","184.82","523.90","357.25","-5.88","-18.82"
"BAJAJFINSV","2,050.00","2,072.00","2,044.20","2,056.20","2,064.90","-","8.70","0.42","14,33,249","294.54","2,195.00","1,551.65","2.30","24.11"
"IRFC","120.68","121.99","120.40","120.75","121.04","-","0.29","0.24","51,35,998","62.18","166.90","108.04","-2.82","-13.33"
"PNBHOUSING","912.00","923.85","907.85","912.55","914.40","-","1.85","0.20","5,41,570","49.66","1,141.90","746.70","8.58","-1.00"
"LICHSGFIN","566.00","570.00","564.60","567.90","568.50","-","0.60","0.11","8,24,463","46.72","648.90","483.70","0.34","-6.45"
"CHOLAFIN","1,710.60","1,726.90","1,705.10","1,710.60","1,712.00","-","1.40","0.08","9,12,397","156.36","1,782.00","1,168.00","4.19","42.28"
"CDSL","1,626.00","1,648.80","1,616.00","1,626.30","1,627.00","-","0.70","0.04","15,21,310","248.27","1,989.80","1,047.45","1.20","13.28"
"ICICIPRULI","630.10","633.85","625.05","630.10","630.35","-","0.25","0.04","6,52,101","41.01","704.70","525.80","5.25","-8.51"
"RECLTD","359.05","362.65","356.65","359.05","358.80","-","-0.25","-0.07","59,05,363","212.05","573.30","348.60","-3.31","-29.58"
"ABCAPITAL","330.25","334.15","328.25","331.80","331.20","-","-0.60","-0.18","16,39,627","54.33","345.40","149.01","11.21","76.64"
"CAMS","3,911.20","3,988.00","3,906.90","3,944.00","3,934.00","-","-10.00","-0.25","2,18,668","86.50","5,367.50","3,031.05","4.18","-12.34"
"SBICARD","877.65","886.80","867.10","877.65","874.40","-","-3.25","-0.37","18,63,347","163.19","1,027.25","663.05","-4.48","28.61"
"PAYTM","1,307.50","1,315.00","1,289.00","1,307.50","1,300.90","-","-6.60","-0.50","19,13,597","249.05","1,353.80","651.50","4.37","72.48"
"IEX","138.45","138.80","136.57","138.45","137.75","-","-0.70","-0.51","24,61,071","33.86","215.40","130.26","1.07","-15.47"
"SHRIRAMFIN","809.50","817.95","803.90","814.00","808.50","-","-5.50","-0.68","56,72,058","459.32","838.65","493.35","19.99","-71.64"
"ICICIGI","2,043.90","2,043.90","1,995.30","2,033.80","2,010.00","-","-23.80","-1.17","4,06,284","81.82","2,068.70","1,613.70","8.10","7.33"
"HDFCAMC","5,485.00","5,498.00","5,364.00","5,477.50","5,412.00","-","-65.50","-1.20","4,07,286","220.74","5,934.50","3,563.05","-3.24","27.39"
"HDFCLIFE","779.00","780.30","769.50","782.20","772.30","-","-9.90","-1.27","13,73,199","106.17","820.75","584.30","4.05","12.94"
"MFSL","1,707.40","1,707.60","1,662.00","1,707.40","1,682.60","-","-24.80","-1.45","6,88,238","115.63","1,729.90","950.00","3.87","39.74"
"360ONE","1,087.00","1,089.80","1,059.00","1,085.60","1,064.90","-","-20.70","-1.91","6,01,566","64.20","1,318.00","790.50","-5.44","4.78"
