"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY MIDCAP SELECT","13,829.05","13,910.05","13,787.75","13,826.60","13,865.25","-","38.65","0.28","16,85,54,749","8,385.63","13,957.50","6,054.20","6.37","14.86"
"MUTHOOTFIN","3,650.00","3,755.00","3,580.00","3,393.10","3,730.00","-","336.90","9.93","47,43,416","1,758.57","3,755.00","1,756.05","15.76","110.45"
"BSE","2,741.00","2,834.00","2,740.30","2,760.20","2,825.50","-","65.30","2.37","57,87,981","1,624.15","3,030.00","1,227.33","15.49","-37.05"
"MARICO","722.00","741.85","712.40","722.00","737.95","-","15.95","2.21","25,72,321","187.19","759.00","577.85","4.31","23.69"
"AUROPHARMA","1,210.20","1,231.90","1,202.90","1,210.20","1,229.00","-","18.80","1.55","20,55,973","250.73","1,356.20","1,010.00","8.69","-2.16"
"INDUSTOWER","405.90","414.00","405.15","407.85","413.95","-","6.10","1.50","45,23,897","185.92","430.00","312.55","21.80","29.63"
"BHARATFORG","1,377.00","1,405.00","1,368.00","1,388.80","1,400.00","-","11.20","0.81","12,32,599","170.34","1,411.00","919.10","14.21","5.69"
"DIXON","15,299.00","15,570.00","15,232.00","15,323.00","15,440.00","-","117.00","0.76","2,54,561","393.05","19,148.90","12,202.20","-7.30","4.75"
"POLICYBZR","1,741.90","1,748.00","1,715.00","1,734.70","1,746.70","-","12.00","0.69","10,48,282","181.34","2,246.90","1,311.35","1.76","6.48"
"MANKIND","2,257.00","2,286.70","2,252.60","2,257.00","2,272.00","-","15.00","0.66","6,06,234","137.42","3,054.80","2,115.10","-7.01","-10.47"
"UNIONBANK","151.76","153.74","151.53","151.90","152.90","-","1.00","0.66","88,55,570","135.09","158.65","100.81","11.50","32.08"
"HEROMOTOCO","5,521.50","5,629.50","5,462.50","5,508.50","5,534.00","-","25.50","0.46","9,38,647","522.75","5,717.00","3,344.00","-0.59","22.54"
"YESBANK","22.48","22.60","22.36","22.48","22.53","-","0.05","0.22","5,08,42,831","114.29","24.30","16.02","-3.52","17.99"
"SUZLON","57.50","58.29","57.03","57.58","57.70","-","0.12","0.21","4,12,14,942","237.65","74.30","46.15","6.91","6.76"
"BHEL","281.50","284.50","279.80","281.50","282.05","-","0.55","0.20","1,17,86,151","333.12","290.90","176.00","21.15","26.53"
"LUPIN","2,053.90","2,069.20","2,035.80","2,052.90","2,054.70","-","1.80","0.09","5,91,657","121.41","2,402.90","1,795.20","6.09","0.80"
"GODREJPROP","2,205.80","2,218.50","2,176.00","2,206.10","2,202.00","-","-4.10","-0.19","2,72,597","59.84","3,015.90","1,900.00","6.73","-14.53"
"PERSISTENT","6,100.00","6,136.50","6,034.00","6,137.00","6,112.00","-","-25.00","-0.41","1,98,063","120.55","6,788.90","4,148.95","14.30","8.16"
"COFORGE","1,801.00","1,805.00","1,756.00","1,810.20","1,802.00","-","-8.20","-0.45","15,75,511","280.88","2,005.36","1,194.01","5.83","-77.66"
"HINDPETRO","483.10","488.75","477.35","486.05","481.55","-","-4.50","-0.93","24,56,049","118.24","494.45","287.55","8.72","29.58"
"POLYCAB","7,740.00","7,747.50","7,602.50","7,721.00","7,631.00","-","-90.00","-1.17","1,27,917","97.88","7,903.00","4,555.00","0.32","20.60"
"HDFCAMC","5,485.00","5,498.00","5,364.00","5,477.50","5,412.00","-","-65.50","-1.20","4,07,286","220.74","5,934.50","3,563.05","-3.24","27.39"
"ASHOKLEY","150.00","152.94","147.46","150.41","148.20","-","-2.21","-1.47","2,06,95,998","310.38","152.94","95.93","9.49","-31.81"
"CUMMINSIND","4,363.30","4,363.30","4,263.00","4,366.20","4,297.20","-","-69.00","-1.58","4,84,468","208.45","4,495.00","2,580.00","8.57","28.78"
"INDUSINDBK","864.00","872.00","845.85","863.45","848.35","-","-15.10","-1.75","44,60,991","382.19","1,086.55","606.00","13.04","-18.18"
"SRF","2,881.00","2,882.40","2,819.80","2,912.00","2,835.90","-","-76.10","-2.61","8,20,807","233.47","3,325.00","2,126.85","-6.73","29.17"
