"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,304.60","20,438.60","20,273.65","20,269.35","20,374.70","-","105.35","0.52","14,38,92,221","7,383.86","20,443.15","12,407.95","6.68","-"
"MUTHOOTFIN","3,650.00","3,755.00","3,580.00","3,393.10","3,730.00","-","336.90","9.93","47,43,416","1,758.57","3,755.00","1,756.05","15.76","110.45"
"MANAPPURAM","278.00","286.30","277.80","273.85","281.75","-","7.90","2.88","1,07,97,588","304.76","298.00","148.68","-0.92","77.83"
"BSE","2,741.00","2,834.00","2,740.30","2,760.20","2,825.50","-","65.30","2.37","57,87,981","1,624.15","3,030.00","1,227.33","15.49","-37.05"
"BANKINDIA","144.05","146.80","144.00","144.62","146.44","-","1.82","1.26","46,83,129","68.34","147.80","90.05","17.88","39.89"
"ANGELONE","2,713.50","2,757.00","2,710.70","2,713.50","2,745.00","-","31.50","1.16","5,36,041","146.79","3,503.15","1,941.00","14.17","5.02"
"HUDCO","225.00","228.45","224.25","225.39","227.70","-","2.31","1.02","23,01,154","52.18","262.70","158.85","1.13","12.69"
"MCX","9,575.00","9,744.00","9,439.50","9,597.00","9,665.00","-","68.00","0.71","4,42,979","426.73","9,764.00","4,408.15","2.86","62.49"
"POLICYBZR","1,741.90","1,748.00","1,715.00","1,734.70","1,746.70","-","12.00","0.69","10,48,282","181.34","2,246.90","1,311.35","1.76","6.48"
"IDFCFIRSTB","80.00","81.00","79.75","80.00","80.54","-","0.54","0.68","1,60,81,514","129.31","82.70","52.46","10.48","26.42"
"UNIONBANK","151.76","153.74","151.53","151.90","152.90","-","1.00","0.66","88,55,570","135.09","158.65","100.81","11.50","32.08"
"RBLBANK","315.25","319.50","314.35","315.45","317.50","-","2.05","0.65","51,56,226","163.37","332.00","146.10","9.31","109.47"
"LTF","291.95","296.75","290.15","292.20","294.10","-","1.90","0.65","48,21,228","142.00","308.25","129.20","11.87","116.43"
"AUBANK","886.00","894.55","882.50","886.70","891.90","-","5.20","0.59","16,68,762","148.53","922.90","478.35","15.27","58.81"
"BANDHANBNK","154.30","155.26","153.40","154.13","155.00","-","0.87","0.56","41,41,559","63.94","192.48","128.16","-4.92","-6.37"
"YESBANK","22.48","22.60","22.36","22.48","22.53","-","0.05","0.22","5,08,42,831","114.29","24.30","16.02","-3.52","17.99"
"PNBHOUSING","912.00","923.85","907.85","912.55","914.40","-","1.85","0.20","5,41,570","49.66","1,141.90","746.70","8.58","-1.00"
"FEDERALBNK","235.40","237.19","235.08","235.79","236.22","-","0.43","0.18","30,78,306","72.71","239.91","172.66","9.66","18.50"
"LICHSGFIN","566.00","570.00","564.60","567.90","568.50","-","0.60","0.11","8,24,463","46.72","648.90","483.70","0.34","-6.45"
"CDSL","1,626.00","1,648.80","1,616.00","1,626.30","1,627.00","-","0.70","0.04","15,21,310","248.27","1,989.80","1,047.45","1.20","13.28"
"ICICIPRULI","630.10","633.85","625.05","630.10","630.35","-","0.25","0.04","6,52,101","41.01","704.70","525.80","5.25","-8.51"
"INDIANB","868.05","873.90","862.00","869.45","869.05","-","-0.40","-0.05","11,11,820","96.40","887.80","473.90","13.06","60.81"
"ABCAPITAL","330.25","334.15","328.25","331.80","331.20","-","-0.60","-0.18","16,39,627","54.33","345.40","149.01","11.21","76.64"
"CAMS","3,911.20","3,988.00","3,906.90","3,944.00","3,934.00","-","-10.00","-0.25","2,18,668","86.50","5,367.50","3,031.05","4.18","-12.34"
"SBICARD","877.65","886.80","867.10","877.65","874.40","-","-3.25","-0.37","18,63,347","163.19","1,027.25","663.05","-4.48","28.61"
"PAYTM","1,307.50","1,315.00","1,289.00","1,307.50","1,300.90","-","-6.60","-0.50","19,13,597","249.05","1,353.80","651.50","4.37","72.48"
"IEX","138.45","138.80","136.57","138.45","137.75","-","-0.70","-0.51","24,61,071","33.86","215.40","130.26","1.07","-15.47"
"HDFCAMC","5,485.00","5,498.00","5,364.00","5,477.50","5,412.00","-","-65.50","-1.20","4,07,286","220.74","5,934.50","3,563.05","-3.24","27.39"
"MFSL","1,707.40","1,707.60","1,662.00","1,707.40","1,682.60","-","-24.80","-1.45","6,88,238","115.63","1,729.90","950.00","3.87","39.74"
"INDUSINDBK","864.00","872.00","845.85","863.45","848.35","-","-15.10","-1.75","44,60,991","382.19","1,086.55","606.00","13.04","-18.18"
"360ONE","1,087.00","1,089.80","1,059.00","1,085.60","1,064.90","-","-20.70","-1.91","6,01,566","64.20","1,318.00","790.50","-5.44","4.78"
