"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY MIDSMALL HEALTHCARE","44,264.80","44,407.50","44,099.30","44,221.70","44,295.75","-","74.05","0.17","2,71,42,372","3,062.34","46,103.35","31,279.60","0.38","8.32"
"IPCALAB","1,309.70","1,548.00","1,305.00","1,302.00","1,442.00","-","140.00","10.75","41,31,703","594.99","1,755.90","1,168.20","13.28","-1.68"
"AUROPHARMA","1,210.20","1,231.90","1,202.90","1,210.20","1,229.00","-","18.80","1.55","20,55,973","250.73","1,356.20","1,010.00","8.69","-2.16"
"NEULANDLAB","17,239.00","17,950.00","17,227.00","17,223.00","17,401.00","-","178.00","1.03","67,485","118.57","19,747.00","10,190.70","6.76","19.05"
"GLENMARK","1,890.00","1,931.90","1,855.00","1,880.60","1,895.00","-","14.40","0.77","18,08,669","343.90","2,284.80","1,275.50","0.15","23.14"
"ASTERDM","670.00","680.55","666.65","673.15","678.10","-","4.95","0.74","1,63,972","11.10","732.20","387.10","-1.29","56.86"
"MANKIND","2,257.00","2,286.70","2,252.60","2,257.00","2,272.00","-","15.00","0.66","6,06,234","137.42","3,054.80","2,115.10","-7.01","-10.47"
"PFIZER","5,050.00","5,084.00","5,028.00","5,043.50","5,076.00","-","32.50","0.64","10,078","5.10","5,993.00","3,701.00","-5.86","-2.57"
"JBCHEPHARM","1,818.60","1,838.00","1,811.00","1,818.60","1,826.90","-","8.30","0.46","61,533","11.23","1,952.00","1,385.75","9.88","6.27"
"LAURUSLABS","1,001.20","1,014.40","992.95","997.05","1,000.00","-","2.95","0.30","17,85,705","179.33","1,014.40","474.05","13.79","109.59"
"WOCKPHARMA","1,344.80","1,357.00","1,339.80","1,347.00","1,351.00","-","4.00","0.30","3,08,545","41.53","1,868.80","1,110.05","-1.67","13.12"
"LALPATHLAB","3,115.10","3,165.00","3,110.50","3,143.60","3,150.20","-","6.60","0.21","47,256","14.88","3,540.00","2,293.55","-0.72","6.63"
"ONESOURCE","1,720.00","1,740.00","1,719.20","1,726.00","1,729.00","-","3.00","0.17","1,21,854","21.08","2,248.00","1,209.95","-5.83","-"
"PPLPHARMA","193.84","197.99","193.10","193.84","194.13","-","0.29","0.15","25,31,346","49.49","283.90","181.73","0.92","-25.29"
"GLAND","1,856.00","1,862.50","1,812.20","1,829.20","1,831.00","-","1.80","0.10","67,384","12.33","2,131.00","1,277.80","-4.73","7.43"
"LUPIN","2,053.90","2,069.20","2,035.80","2,052.90","2,054.70","-","1.80","0.09","5,91,657","121.41","2,402.90","1,795.20","6.09","0.80"
"ALKEM","5,800.50","5,808.50","5,607.50","5,725.50","5,720.00","-","-5.50","-0.10","3,83,633","218.54","5,868.00","4,491.65","4.18","2.72"
"GLAXO","2,499.80","2,515.20","2,470.90","2,494.50","2,477.00","-","-17.50","-0.70","51,386","12.81","3,515.70","1,921.00","-10.28","1.09"
"AJANTPHARM","2,540.00","2,543.10","2,494.90","2,549.00","2,530.00","-","-19.00","-0.75","1,36,610","34.46","3,115.90","2,327.30","5.48","-10.68"
"ABBOTINDIA","29,600.00","29,640.00","28,600.00","29,570.00","29,325.00","-","-245.00","-0.83","9,495","27.88","37,000.00","25,325.00","-2.51","6.19"
"GRANULES","558.00","563.25","542.60","556.30","550.30","-","-6.00","-1.08","11,96,093","66.03","628.00","422.00","-3.82","2.97"
"NH","1,779.00","1,783.00","1,745.20","1,777.10","1,757.00","-","-20.10","-1.13","1,72,634","30.37","2,370.20","1,238.10","0.56","39.30"
"SYNGENE","662.10","666.60","650.50","662.10","654.55","-","-7.55","-1.14","4,91,837","32.38","960.60","599.55","4.60","-24.15"
"POLYMED","1,967.00","1,971.20","1,935.00","1,958.90","1,935.00","-","-23.90","-1.22","44,107","8.61","3,095.00","1,821.20","4.62","-26.82"
"RAINBOW","1,353.00","1,353.00","1,325.80","1,355.70","1,338.80","-","-16.90","-1.25","1,90,449","25.48","1,709.60","1,218.00","0.88","-16.12"
"BIOCON","414.75","419.95","408.00","417.00","411.50","-","-5.50","-1.32","33,20,956","137.58","423.10","291.00","16.85","24.01"
"FORTIS","950.00","951.00","930.30","953.00","937.80","-","-15.20","-1.59","32,68,449","306.28","1,104.30","577.00","-13.29","51.14"
"NATCOPHARM","827.90","830.00","807.00","826.15","812.30","-","-13.85","-1.68","9,74,189","79.74","1,505.00","726.80","0.36","-40.55"
"KIMS","675.00","675.30","662.00","678.15","665.00","-","-13.15","-1.94","3,33,073","22.20","798.40","474.05","-7.08","19.99"
"COHANCE","626.00","627.30","614.20","629.10","614.25","-","-14.85","-2.36","20,34,527","126.18","1,360.00","614.20","-29.01","-"
"MEDANTA","1,202.00","1,202.50","1,170.00","1,201.80","1,172.00","-","-29.80","-2.48","1,75,540","20.71","1,456.50","996.45","-13.07","13.79"
