"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY NEXT 50","69,822.95","70,261.20","69,517.15","69,851.65","69,786.85","-","-64.80","-0.09","22,68,57,912","8,809.30","73,443.90","56,192.45","2.31","4.00"
"BAJAJHLDNG","12,041.00","12,642.00","12,019.00","11,981.00","12,510.00","-","529.00","4.42","1,74,364","217.42","14,763.00","10,120.05","2.94","19.39"
"CANBK","143.88","146.38","143.36","143.45","146.19","-","2.74","1.91","2,64,63,777","384.70","146.38","78.60","16.65","48.55"
"MAZDOCK","2,732.00","2,797.00","2,727.90","2,736.00","2,785.00","-","49.00","1.79","11,53,814","320.22","3,775.00","1,918.05","-0.64","-28.50"
"VBL","453.00","460.50","448.60","453.00","459.45","-","6.45","1.42","44,49,524","203.62","663.60","419.55","4.03","-19.13"
"ADANIPOWER","152.46","155.99","152.20","151.85","153.98","-","2.13","1.40","2,68,21,173","413.96","182.70","86.40","-0.64","-71.86"
"GODREJCP","1,133.00","1,152.00","1,127.70","1,133.40","1,146.30","-","12.90","1.14","20,94,535","238.35","1,309.00","979.50","4.09","-3.16"
"BANKBARODA","281.30","287.45","281.30","283.25","286.40","-","3.15","1.11","57,67,810","164.62","293.25","190.70","8.64","17.86"
"SOLARINDS","13,790.00","14,016.00","13,700.00","13,759.00","13,910.00","-","151.00","1.10","99,365","137.97","17,820.00","8,482.50","-0.69","43.26"
"PNB","121.40","122.58","121.35","121.07","122.30","-","1.23","1.02","75,34,146","91.86","124.48","85.46","6.02","21.53"
"ABB","4,913.00","4,963.00","4,899.00","4,913.00","4,960.00","-","47.00","0.96","1,20,184","59.30","7,960.00","4,684.45","-3.26","-27.19"
"SIEMENS","3,070.00","3,105.00","3,037.70","3,066.10","3,093.40","-","27.30","0.89","2,84,674","87.66","8,035.95","2,450.00","-0.74","-54.00"
"AMBUJACEM","562.50","564.80","558.70","559.35","563.40","-","4.05","0.72","10,82,167","60.89","624.95","453.05","-0.07","3.27"
"LICI","900.00","910.75","897.60","902.85","909.00","-","6.15","0.68","8,30,405","75.22","1,007.80","715.30","0.83","1.29"
"UNITDSPR","1,419.00","1,432.40","1,412.80","1,420.80","1,430.00","-","9.20","0.65","3,35,913","47.88","1,700.00","1,271.10","9.75","0.12"
"PFC","373.25","375.45","371.15","372.90","375.15","-","2.25","0.60","49,54,031","184.82","523.90","357.25","-5.88","-18.82"
"TORNTPHARM","3,828.50","3,872.70","3,803.00","3,826.10","3,847.10","-","21.00","0.55","5,59,539","214.89","3,882.20","2,886.45","8.80","22.95"
"MOTHERSON","111.31","113.47","108.80","109.13","109.71","-","0.58","0.53","6,84,60,187","760.39","116.38","71.50","4.56","-31.30"
"ADANIENSOL","1,027.00","1,050.00","1,017.00","1,021.40","1,025.50","-","4.10","0.40","21,90,871","226.09","1,050.00","588.00","9.65","15.06"
"INDHOTEL","712.00","724.00","712.00","717.70","720.35","-","2.65","0.37","38,54,104","276.81","894.90","672.60","-0.05","0.93"
"IRFC","120.68","121.99","120.40","120.75","121.04","-","0.29","0.24","51,35,998","62.18","166.90","108.04","-2.82","-13.33"
"HAVELLS","1,463.20","1,473.00","1,453.60","1,466.10","1,468.20","-","2.10","0.14","2,47,053","36.21","1,782.65","1,381.30","1.40","-8.96"
"CHOLAFIN","1,710.60","1,726.90","1,705.10","1,710.60","1,712.00","-","1.40","0.08","9,12,397","156.36","1,782.00","1,168.00","4.19","42.28"
"GAIL","183.00","184.03","182.07","183.67","183.80","-","0.13","0.07","54,96,277","100.54","213.40","150.52","4.58","-3.20"
"JSWENERGY","525.05","531.75","522.55","528.30","528.50","-","0.20","0.04","17,55,919","92.70","774.90","418.75","-2.26","-27.46"
