"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY500 HEALTHCARE","19,004.15","19,078.30","18,951.95","19,003.75","19,049.20","-","45.45","0.24","3,50,12,353","4,445.65","19,594.10","16,294.60","-","-"
"IPCALAB","1,309.70","1,548.00","1,305.00","1,302.00","1,442.00","-","140.00","10.75","41,31,703","594.99","1,755.90","1,168.20","13.28","-1.68"
"CONCORDBIO","1,390.00","1,510.10","1,389.90","1,458.80","1,510.00","-","51.20","3.51","1,82,690","27.09","2,451.70","1,345.00","-1.15","-19.13"
"ERIS","1,518.10","1,553.80","1,510.00","1,518.10","1,550.00","-","31.90","2.10","80,731","12.43","1,910.00","1,097.20","-3.06","16.65"
"VIJAYA","1,041.20","1,064.85","1,038.00","1,041.20","1,060.00","-","18.80","1.81","1,47,547","15.59","1,275.00","740.00","9.20","4.26"
"AUROPHARMA","1,210.20","1,231.90","1,202.90","1,210.20","1,229.00","-","18.80","1.55","20,55,973","250.73","1,356.20","1,010.00","8.69","-2.16"
"NEULANDLAB","17,239.00","17,950.00","17,227.00","17,223.00","17,401.00","-","178.00","1.03","67,485","118.57","19,747.00","10,190.70","6.76","19.05"
"SUNPHARMA","1,737.40","1,760.10","1,734.70","1,737.40","1,755.00","-","17.60","1.01","16,67,322","292.19","1,910.00","1,548.00","6.21","-1.23"
"DRREDDY","1,235.20","1,249.00","1,231.80","1,234.90","1,246.90","-","12.00","0.97","8,27,643","102.95","1,405.90","1,020.00","0.70","0.08"
"GLENMARK","1,890.00","1,931.90","1,855.00","1,880.60","1,895.00","-","14.40","0.77","18,08,669","343.90","2,284.80","1,275.50","0.15","23.14"
"ASTERDM","670.00","680.55","666.65","673.15","678.10","-","4.95","0.74","1,63,972","11.10","732.20","387.10","-1.29","56.86"
"MANKIND","2,257.00","2,286.70","2,252.60","2,257.00","2,272.00","-","15.00","0.66","6,06,234","137.42","3,054.80","2,115.10","-7.01","-10.47"
"PFIZER","5,050.00","5,084.00","5,028.00","5,043.50","5,076.00","-","32.50","0.64","10,078","5.10","5,993.00","3,701.00","-5.86","-2.57"
"JUBLPHARMA","1,126.00","1,135.00","1,120.10","1,126.00","1,133.00","-","7.00","0.62","1,13,727","12.84","1,265.00","802.00","4.92","-1.24"
