"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY 500","23,917.50","23,938.30","23,776.30","23,975.45","23,790.25","-","-185.20","-0.77","2,29,85,85,392","65,705.07","24,032.10","19,519.85","0.13","8.12"
"DCMSHRIRAM","1,174.30","1,279.00","1,169.30","1,174.20","1,250.00","-","75.80","6.46","31,53,475","396.64","1,502.30","902.60","2.08","-2.22"
"FIVESTAR","593.50","623.00","583.25","593.50","619.00","-","25.50","4.30","43,42,518","264.82","850.00","501.00","15.57","-2.66"
"CREDITACC","1,328.30","1,363.00","1,324.10","1,328.30","1,358.10","-","29.80","2.24","5,13,808","69.31","1,490.10","750.20","4.90","53.65"
"INDUSINDBK","832.20","856.80","830.55","829.40","846.00","-","16.60","2.00","73,04,707","617.04","1,086.55","606.00","11.62","-15.36"
"TBOTEK","1,682.50","1,764.80","1,667.20","1,678.00","1,702.00","-","24.00","1.43","21,85,977","378.63","1,845.55","996.00","8.63","12.18"
"MARUTI","15,790.00","16,150.00","15,737.00","15,801.00","16,010.00","-","209.00","1.32","5,86,351","937.43","16,660.00","10,725.00","-2.56","45.78"
"RAMCOCEM","1,000.50","1,032.70","992.10","996.80","1,010.00","-","13.20","1.32","11,35,358","115.62","1,209.00","788.20","-2.73","11.84"
"CESC","169.83","172.95","169.75","169.83","171.99","-","2.16","1.27","11,31,158","19.44","203.80","119.00","-4.71","1.19"
"MEDANTA","1,213.10","1,229.00","1,212.00","1,213.10","1,228.00","-","14.90","1.23","2,31,535","28.31","1,456.50","996.45","-11.89","12.36"
"ESCORTS","3,557.00","3,642.00","3,540.00","3,557.80","3,601.10","-","43.30","1.22","1,46,801","52.92","4,180.00","2,776.40","-2.33","3.53"
"SAMMAANCAP","156.91","164.97","156.00","157.02","158.89","-","1.87","1.19","4,15,93,319","672.61","192.95","97.61","-9.26","5.50"
"NUVOCO","361.00","367.40","355.20","360.75","365.00","-","4.25","1.18","1,45,774","5.27","477.50","287.05","-13.56","7.97"
"BASF","4,334.00","4,420.00","4,325.00","4,368.80","4,419.00","-","50.20","1.15","13,198","5.77","6,225.00","4,065.05","-3.10","-26.47"
"NH","2,007.00","2,068.00","1,982.70","2,017.00","2,040.00","-","23.00","1.14","11,40,449","232.33","2,370.20","1,238.10","14.77","61.90"
