Duration,Type,Rank,Symbol,Momentum%,StartPrice,EndPrice,TradingDays
1M,Gainer,1,RELIANCE,3.55,1466.80,1518.90,18
1M,Gainer,2,TCS,3.01,3015.20,3106.00,18
1M,Gainer,3,INFY,2.87,1460.90,1502.80,18
1M,Loser,1,INFY,2.87,1460.90,1502.80,18
1M,Loser,2,TCS,3.01,3015.20,3106.00,18
1M,Loser,3,RELIANCE,3.55,1466.80,1518.90,18
1W,Gainer,1,TCS,2.67,3025.20,3106.00,5
1W,Gainer,2,RELIANCE,1.99,1489.30,1518.90,5
1W,Gainer,3,INFY,-0.71,1513.50,1502.80,5
1W,Loser,1,INFY,-0.71,1513.50,1502.80,5
1W,Loser,2,RELIANCE,1.99,1489.30,1518.90,5
1W,Loser,3,TCS,2.67,3025.20,3106.00,5
