symbol,12M,1M,1W,3M,6M,9M
3IINFOLTD,-31.4243,-4.5621,7.6923,-19.7531,-26.5833,-29.1001
AARTIIND,-8.8696,5.4609,1.6686,-0.2285,-16.1779,-4.7619
ABCAPITAL,79.1061,8.5312,0.6224,16.9166,49.65,110.707
ABDL,106.383,11.8781,5.2555,24.4066,62.5766,95.753
ABFRL,-73.0955,-5.5281,-0.343,2.8586,-12.6989,-68.6991
ABLBL,-17.7403,-2.4236,5.1615,-4.4957,-17.7403,-17.7403
ACMESOLAR,-0.437,-8.7898,-0.4766,-13.7349,-0.8114,28.2432
ADANIENSOL,18.1524,9.2631,3.4924,24.2235,16.479,52.5971
ADANIENT,-10.7106,-1.2284,6.3377,5.4334,1.1738,17.9879
ADANIGREEN,-26.6413,3.3556,2.3559,9.5138,8.4141,25.8374
ADANIPORTS,18.2444,3.1152,2.5977,10.3677,10.3033,39.6446
ADANIPOWER,-70.7868,-9.6242,1.8125,-74.3462,-72.2034,-67.845
ADVANCE,-3.9168,-3.9168,5.1153,-3.9168,-3.9168,-3.9168
AFIL,-91.3561,-9.3943,-1.6107,6.0781,-2.9139,-90.6684
ALLCARGO,-36.9978,0.8937,0.0,-2.3919,9.3286,2.8233
ALOKINDS,-16.0116,1.2281,1.0508,-7.2347,-8.4611,3.405
ALPHA,-2.1051,0.8308,0.8512,0.1812,4.0351,13.4519
ALPL30IETF,-0.6095,-1.1765,0.6902,0.7267,1.6875,8.5781
AMBUJACEM,2.2977,-0.4067,1.0134,-4.8488,-0.8014,16.8586
ANANTRAJ,-5.4626,-3.1289,0.2033,14.421,18.515,19.2721
APOLLO,203.8911,-1.8522,2.5502,39.7722,88.1845,144.9244
APOLLOTYRE,9.8824,2.3077,-0.3267,10.9994,5.459,26.9301
APTUS,-8.1025,-7.8108,0.7635,-18.1882,-13.7532,-3.762
ARIHANTCAP,2.1794,-0.3476,2.1067,-8.4497,43.7599,38.4053
ARSSBL,64.6055,45.6748,18.9426,64.6055,64.6055,64.6055
ASHOKA,-13.1574,3.8771,0.842,7.4304,-2.0304,1.636
ASHOKLEY,-32.6856,9.1431,1.5201,11.3899,-37.9146,-33.3753
ASIANPAINT,17.019,15.5167,9.3783,13.0851,26.4092,28.7385
ASIANTILES,2.3116,7.7628,0.9778,7.831,37.892,44.4068
ATALREAL,96.1844,2.5769,-0.4437,19.8058,66.3073,96.1844
ATGL,-6.6801,0.7169,2.0486,-0.8328,-4.9996,7.4602
ATHERENERG,114.8859,-10.0526,-1.5459,55.9102,107.4405,114.8859
