Symbol,Sector,Momentum_1W,Momentum_1M,Momentum_3M,Momentum_6M
AXISBANK,Banking,,,,
HDFCBANK,Banking,,,,
ICICIBANK,Banking,,,,
INDUSINDBK,Banking,,,,
KOTAKBANK,Banking,,,,
SBIN,Banking,,,,
BAJFINANCE,Financial Services,,,,
BAJAJFINSV,Financial Services,,,,
HDFCLIFE,Financial Services,,,,
SBILIFE,Financial Services,,,,
INFY,Information Technology,-0.707,2.8681,,
TCS,Information Technology,2.6709,3.0114,,
TECHM,Information Technology,,,,
HCLTECH,Information Technology,,,,
WIPRO,Information Technology,,,,
RELIANCE,Oil & Gas,1.9875,3.5519,,
ONGC,Oil & Gas,,,,
BPCL,Oil & Gas,,,,
TATASTEEL,Metals & Mining,,,,
JSWSTEEL,Metals & Mining,,,,
HINDALCO,Metals & Mining,,,,
COALINDIA,Metals & Mining,,,,
MARUTI,Automotive,,,,
BAJAJ-AUTO,Automotive,,,,
M&M,Automotive,,,,
HEROMOTOCO,Automotive,,,,
EICHERMOT,Automotive,,,,
SUNPHARMA,Pharmaceuticals,,,,
DRREDDY,Pharmaceuticals,,,,
CIPLA,Pharmaceuticals,,,,
DIVISLAB,Pharmaceuticals,,,,
HINDUNILVR,FMCG,,,,
BRITANNIA,FMCG,,,,
NESTLEIND,FMCG,,,,
ITC,FMCG,,,,
TATACONSUM,FMCG,,,,
BHARTIARTL,Telecom,,,,
NTPC,Power & Utilities,,,,
POWERGRID,Power & Utilities,,,,
ULTRACEMCO,Cement & Construction,,,,
GRASIM,Cement & Construction,,,,
LT,Cement & Construction,,,,
ASIANPAINT,Chemicals & Materials,,,,
UPL,Chemicals & Materials,,,,
TITAN,Consumer Goods,,,,
ADANIPORTS,Logistics,,,,
