trade_date,avg_price_change,median_price_change,price_volatility,stocks_traded,avg_intraday_volatility,median_volatility,max_volatility,total_volume,total_turnover,unique_stocks,advance_decline_ratio,advancing_stocks,declining_stocks,unchanged_stocks,moon_sign,moon_degree,element,quality,ruling_planet,predicted_volatility,risk_level,market_tendency,sign_numeric,element_numeric,quality_numeric
2025-01-01,0.4813,0.4472,0.6274,8,1.5399,1.3112,2.4736,26737113,38768418000.0,8,0.875,7,1,0,Aquarius,1.1,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-01-02,1.3189,0.9703,1.062,8,2.1215,1.9761,4.0991,58012525,88291525000.0,8,0.5,8,0,0,Aquarius,15.4,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-01-03,-1.1635,-1.1486,0.8853,8,2.0038,2.0495,2.7331,65235458,95788666000.0,8,0.125,1,7,0,Aquarius,28.99,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-01-06,-1.3987,-1.213,1.0835,8,2.6641,2.7877,3.7482,58194550,87129714000.0,8,0.5,0,8,0,Aries,6.88,Fire,Cardinal,Mars,1.4,High,Aggressive Bull Runs,1,2,0
2025-01-07,0.036,-0.1172,1.1601,8,1.7085,1.6369,3.1301,45291650,70118842000.0,8,0.375,3,5,0,Aries,19.45,Fire,Cardinal,Mars,1.4,High,Aggressive Bull Runs,1,2,0
2025-01-08,-0.2295,-0.3942,1.3,8,2.3534,2.3882,3.0542,65574565,94484292000.0,8,0.5,4,4,0,Taurus,2.5,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-01-09,-0.8646,-0.9688,0.8608,8,2.5845,1.9851,5.8484,73873279,113135763000.0,8,0.25,2,6,0,Taurus,16.27,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
2025-01-10,-0.0183,-0.1177,1.3817,8,2.0751,1.9001,3.0238,58352135,105538807000.0,8,0.5,4,4,0,Gemini,0.84,Air,Mutable,Mercury,1.2,Medium-High,Quick Reversals,4,0,2
2025-01-13,-0.0597,-0.05,1.0397,8,2.0103,1.9894,2.8928,60333637,96305506000.0,8,0.5,4,4,0,Cancer,16.81,Water,Cardinal,Moon,1.3,High,Emotional Extremes,2,3,0
2025-01-14,-0.1038,-0.1902,1.1762,8,2.1131,2.0825,3.4212,68172589,107636209000.0,8,0.375,3,5,0,Leo,1.31,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-01-15,0.2379,0.2403,0.5349,8,1.2842,1.1993,1.5937,38493327,57650305000.0,8,0.75,6,2,0,Leo,14.81,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-01-16,-0.1997,0.1364,1.0027,8,1.8916,2.0052,2.5484,66211902,101684097000.0,8,0.5,4,4,0,Leo,27.28,Fire,Fixed,Sun,1.1,Medium,Strong Leadership,5,2,1
2025-01-17,-0.6639,-0.6332,1.0081,8,1.8622,1.6912,3.1008,78929887,120785677000.0,8,0.125,1,7,0,Virgo,8.89,Earth,Mutable,Mercury,0.9,Low-Medium,Analytical Corrections,11,1,2
2025-01-20,0.1691,0.3493,1.0963,8,1.858,1.8916,2.2302,50841588,74658910000.0,8,0.625,5,3,0,Libra,10.95,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-01-21,-2.0589,-1.8335,0.9581,8,2.7324,2.6947,3.739,84090866,122917675000.0,8,0.5,0,8,0,Libra,21.6,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-01-22,0.566,0.1077,1.5456,8,2.3178,2.7086,3.3556,61540032,94771910000.0,8,0.5,4,4,0,Scorpio,2.69,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-01-23,-0.1364,-0.0889,0.6883,8,1.6498,1.7046,2.1191,58113069,88509924000.0,8,0.5,4,4,0,Scorpio,14.45,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
